species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	0.942832	1.430185	0.666067	1.010366	-0.293547	-0.293542	competition	0.2084	4	0.0566
akk_GCF_000020225.1	MGYG000000002	0.942832	0.595638	0.713238	0.450589	-0.243516	-0.243519	competition	0.7233	6	0.0388
akk_GCF_000020225.1	MGYG000000003	0.942832	0.367930	0.742512	0.289752	-0.212467	-0.212479	competition	0.4866	5	0.1060
akk_GCF_000020225.1	MGYG000000004	0.942832	1.364819	0.750119	1.085859	-0.204398	-0.204393	competition	0.9582	4	0.0155
akk_GCF_000020225.1	MGYG000000006	0.942832	1.535986	0.597918	0.974087	-0.365828	-0.365823	competition	0.2752	5	0.0367
akk_GCF_000020225.1	MGYG000000007	0.942832	0.339824	0.913222	0.329147	-0.031406	-0.031421	competition	0.0009	6	0.0288
akk_GCF_000020225.1	MGYG000000008	0.942832	0.602946	0.738507	0.472274	-0.216715	-0.216723	competition	-0.0000	4	0.0155
akk_GCF_000020225.1	MGYG000000009	0.942832	1.110687	0.600408	0.707304	-0.363186	-0.363183	competition	0.0000	6	0.0626
akk_GCF_000020225.1	MGYG000000010	0.942832	1.113927	0.623180	0.736272	-0.339034	-0.339030	competition	0.7246	6	0.0277
akk_GCF_000020225.1	MGYG000000011	0.942832	1.510775	0.603748	0.967443	-0.359644	-0.359638	competition	0.8692	7	0.0349
akk_GCF_000020225.1	MGYG000000012	0.942832	1.396463	0.657779	0.974267	-0.302338	-0.302333	competition	0.8302	4	0.0812
akk_GCF_000020225.1	MGYG000000013	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	0.942832	1.654639	0.612172	1.074351	-0.350710	-0.350704	competition	0.7473	7	0.0364
akk_GCF_000020225.1	MGYG000000015	0.942832	1.806528	0.644943	1.235764	-0.315952	-0.315945	competition	0.9616	4	0.0253
akk_GCF_000020225.1	MGYG000000016	0.942832	0.449036	0.695544	0.331258	-0.262283	-0.262291	competition	-0.0000	2	0.0743
akk_GCF_000020225.1	MGYG000000017	0.942832	1.049984	0.671068	0.747337	-0.288243	-0.288239	competition	0.5771	2	0.0409
akk_GCF_000020225.1	MGYG000000018	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000019	0.942832	1.535160	0.710683	1.157173	-0.246226	-0.246220	competition	0.9708	7	0.0300
akk_GCF_000020225.1	MGYG000000020	0.942832	0.592999	0.694000	0.436490	-0.263921	-0.263929	competition	0.6896	5	0.0167
akk_GCF_000020225.1	MGYG000000021	0.942832	0.287067	0.827935	0.252078	-0.121864	-0.121884	competition	0.0960	7	0.0167
akk_GCF_000020225.1	MGYG000000022	0.942832	0.863259	0.700195	0.641101	-0.257349	-0.257348	competition	0.7537	8	0.0131
akk_GCF_000020225.1	MGYG000000023	0.942832	1.001750	0.633908	0.673524	-0.327655	-0.327653	competition	0.0000	2	0.1589
akk_GCF_000020225.1	MGYG000000024	0.942832	1.892487	0.638077	1.280784	-0.323234	-0.323227	competition	0.6693	6	0.0315
akk_GCF_000020225.1	MGYG000000025	0.942832	1.419960	0.631689	0.951368	-0.330009	-0.330004	competition	0.7845	6	0.0342
akk_GCF_000020225.1	MGYG000000026	0.942832	0.872564	0.663874	0.614397	-0.295872	-0.295871	competition	0.1202	4	0.0789
akk_GCF_000020225.1	MGYG000000027	0.942832	1.344487	0.665751	0.949374	-0.293882	-0.293877	competition	0.8407	8	0.0475
akk_GCF_000020225.1	MGYG000000028	0.942832	1.124541	0.664537	0.792615	-0.295169	-0.295165	competition	0.9655	7	0.0895
akk_GCF_000020225.1	MGYG000000029	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000031	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	0.942832	0.390962	0.778660	0.322881	-0.174127	-0.174138	competition	0.0000	4	0.1097
akk_GCF_000020225.1	MGYG000000034	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000036	0.942832	0.207890	0.808177	0.178192	-0.142821	-0.142852	competition	0.0741	4	0.0803
akk_GCF_000020225.1	MGYG000000037	0.942832	1.240441	0.680508	0.895318	-0.278230	-0.278226	competition	0.1063	6	0.0428
akk_GCF_000020225.1	MGYG000000038	0.942832	1.313008	0.615840	0.857639	-0.346819	-0.346814	competition	0.0180	5	0.0508
akk_GCF_000020225.1	MGYG000000039	0.942832	1.044722	0.700004	0.775655	-0.257552	-0.257549	competition	0.7616	7	0.0182
akk_GCF_000020225.1	MGYG000000040	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
