species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000001	0.416785	1.260931	0.333407	1.008704	-0.200050	-0.200032	competition	0.8101	5	0.0630
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000002	0.416785	0.428154	0.488667	0.501998	0.172468	0.172471	mutualism	0.4604	7	0.0429
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000003	0.416785	0.243158	0.430408	0.251109	0.032687	0.032699	mutualism	0.8140	6	0.0060
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000004	0.416785	1.199885	0.342558	0.986206	-0.178094	-0.178083	competition	0.4900	6	0.0285
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000006	0.416785	1.267966	0.310964	0.946055	-0.253897	-0.253880	competition	0.3414	6	0.0368
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000007	0.416785	0.179902	0.298160	0.128693	-0.284620	-0.284648	competition	1.0000	1	0.1341
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000008	0.416785	0.444794	0.236804	0.252715	-0.431833	-0.431837	competition	1.0000	1	0.4650
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000009	0.416785	0.884454	0.283328	0.601259	-0.320207	-0.320192	competition	0.1988	6	0.0770
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000010	0.416785	0.909765	0.286620	0.625652	-0.312307	-0.312292	competition	0.0269	5	0.0526
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000011	0.416785	1.241695	0.309264	0.921388	-0.257976	-0.257959	competition	0.3900	6	0.0580
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000012	0.416785	1.130568	0.301557	0.818021	-0.276468	-0.276452	competition	0.2580	5	0.0390
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000013	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000014	0.416785	1.360836	0.316712	1.034114	-0.240107	-0.240089	competition	0.9448	4	0.0673
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000015	0.416785	1.480002	0.321211	1.140647	-0.229312	-0.229294	competition	0.4373	9	0.0441
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000016	0.416785	0.313768	0.448327	0.337511	0.075678	0.075673	mutualism	0.8099	7	0.0276
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000017	0.416785	0.753386	0.311019	0.562208	-0.253767	-0.253759	competition	0.7168	6	0.0567
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000018	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000019	0.416785	1.206642	0.305215	0.883654	-0.267692	-0.267675	competition	0.2871	8	0.0445
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000020	0.416785	0.500342	0.248678	0.298537	-0.403342	-0.403334	competition	1.0000	3	0.8801
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000021	0.416785	0.205719	0.311931	0.153960	-0.251578	-0.251604	competition	0.0789	6	0.1198
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	0.416785	0.734676	0.314717	0.554765	-0.244893	-0.244885	competition	0.4204	5	0.0411
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000023	0.416785	0.775045	0.270022	0.502137	-0.352132	-0.352119	competition	0.3378	6	0.0801
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000024	0.416785	1.560470	0.327739	1.227105	-0.213650	-0.213631	competition	1.0000	5	0.0386
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000025	0.416785	1.169447	0.308407	0.865370	-0.260034	-0.260018	competition	0.0112	4	0.0556
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000026	0.416785	0.649779	0.267763	0.417454	-0.357550	-0.357544	competition	0.9993	5	0.0755
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000027	0.416785	1.087686	0.308451	0.804984	-0.259928	-0.259912	competition	0.6267	4	0.0414
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000028	0.416785	0.874849	0.296794	0.622994	-0.287896	-0.287884	competition	0.9190	7	0.0911
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000029	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000030	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000031	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000033	0.416785	0.280570	0.374068	0.251812	-0.102493	-0.102498	competition	0.2136	6	0.0450
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000034	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000035	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000036	0.416785	0.089722	0.543638	0.117025	0.304361	0.304299	mutualism	0.0414	5	0.0101
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000037	0.416785	0.959633	0.329250	0.758097	-0.210024	-0.210013	competition	0.8474	4	0.0744
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000038	0.416785	1.070338	0.309881	0.795815	-0.256496	-0.256483	competition	0.3756	3	0.0357
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000039	0.416785	0.794308	0.309734	0.590302	-0.256849	-0.256836	competition	0.3998	6	0.0482
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000040	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000041	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000042	0.416785	0.997553	0.312900	0.748926	-0.249252	-0.249237	competition	0.8837	4	0.0392
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000043	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000044	0.416785	-0.000000	0.416785	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000045	0.416785	0.648042	0.284162	0.441838	-0.318206	-0.318196	competition	0.9993	5	0.0568
