species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	0.845716	1.260931	0.609419	0.908628	-0.279405	-0.279399	competition	0.2355	5	0.0544
akk_GCF_000020225.1	MGYG000000002	0.845716	0.428154	0.675038	0.341743	-0.201814	-0.201822	competition	0.7344	6	0.0301
akk_GCF_000020225.1	MGYG000000003	0.845716	0.243158	0.715785	0.205795	-0.153634	-0.153658	competition	0.4725	7	0.0443
akk_GCF_000020225.1	MGYG000000004	0.845716	1.199885	0.691710	0.981391	-0.182101	-0.182095	competition	0.9598	5	0.0139
akk_GCF_000020225.1	MGYG000000006	0.845716	1.267966	0.525308	0.787592	-0.378860	-0.378854	competition	0.4889	7	0.0473
akk_GCF_000020225.1	MGYG000000007	0.845716	0.179902	0.843338	0.179390	-0.002811	-0.002848	competition	0.0012	6	0.0216
akk_GCF_000020225.1	MGYG000000008	0.845716	0.444794	0.650957	0.342358	-0.230288	-0.230300	competition	-0.0000	5	0.0117
akk_GCF_000020225.1	MGYG000000009	0.845716	0.884454	0.533824	0.558279	-0.368790	-0.368788	competition	0.2524	6	0.0410
akk_GCF_000020225.1	MGYG000000010	0.845716	0.909765	0.551043	0.592778	-0.348430	-0.348427	competition	0.8160	7	0.0210
akk_GCF_000020225.1	MGYG000000011	0.845716	1.241695	0.531548	0.780436	-0.371481	-0.371475	competition	0.7497	8	0.0228
akk_GCF_000020225.1	MGYG000000012	0.845716	1.130568	0.588768	0.787081	-0.303823	-0.303818	competition	0.6215	6	0.0364
akk_GCF_000020225.1	MGYG000000013	0.845716	-0.000000	0.845716	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	0.845716	1.360836	0.539152	0.867555	-0.362490	-0.362484	competition	0.7743	8	0.0383
akk_GCF_000020225.1	MGYG000000015	0.845716	1.480002	0.571381	0.999927	-0.324382	-0.324375	competition	0.9677	5	0.0185
akk_GCF_000020225.1	MGYG000000016	0.845716	0.313768	0.662676	0.245853	-0.216432	-0.216448	competition	0.1485	3	0.0953
akk_GCF_000020225.1	MGYG000000017	0.845716	0.753386	0.608812	0.542347	-0.280122	-0.280121	competition	0.5177	3	0.0292
akk_GCF_000020225.1	MGYG000000018	0.845716	-0.000000	0.845716	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000019	0.845716	1.206642	0.641796	0.915703	-0.241120	-0.241115	competition	0.9740	5	0.0244
akk_GCF_000020225.1	MGYG000000020	0.845716	0.500342	0.644347	0.381203	-0.238104	-0.238114	competition	0.7649	6	0.0142
akk_GCF_000020225.1	MGYG000000021	0.845716	0.205719	0.786111	0.191214	-0.070478	-0.070509	competition	0.1984	8	0.0130
akk_GCF_000020225.1	MGYG000000022	0.845716	0.734676	0.653146	0.567390	-0.227700	-0.227700	competition	0.7541	8	0.0110
akk_GCF_000020225.1	MGYG000000023	0.845716	0.775045	0.569985	0.522355	-0.326033	-0.326032	competition	0.0000	3	0.1039
akk_GCF_000020225.1	MGYG000000024	0.845716	1.560470	0.557259	1.028237	-0.341080	-0.341073	competition	0.5123	8	0.0280
akk_GCF_000020225.1	MGYG000000025	0.845716	1.169447	0.557145	0.770420	-0.341215	-0.341210	competition	0.7755	8	0.0342
akk_GCF_000020225.1	MGYG000000026	0.845716	0.649779	0.603046	0.463331	-0.286940	-0.286941	competition	0.2949	5	0.0441
