species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	0.942832	1.779271	0.698668	1.318507	-0.258969	-0.258962	competition	0.4011	4	0.0558
akk_GCF_000020225.1	MGYG000000002	0.942832	0.891223	0.746875	0.705995	-0.207839	-0.207837	competition	0.6901	6	0.0641
akk_GCF_000020225.1	MGYG000000003	0.942832	0.450715	0.749872	0.358468	-0.204661	-0.204669	competition	0.5039	6	0.0633
akk_GCF_000020225.1	MGYG000000004	0.942832	1.463779	0.762178	1.183316	-0.191608	-0.191602	competition	0.9290	4	0.0169
akk_GCF_000020225.1	MGYG000000006	0.942832	1.816472	0.627817	1.209572	-0.334116	-0.334109	competition	0.5023	5	0.0737
akk_GCF_000020225.1	MGYG000000007	0.942832	0.503694	0.958380	0.511995	0.016490	0.016480	mutualism	0.0007	5	0.0235
akk_GCF_000020225.1	MGYG000000008	0.942832	0.721561	0.789864	0.604489	-0.162243	-0.162248	competition	-0.0000	4	0.0158
akk_GCF_000020225.1	MGYG000000009	0.942832	1.346710	0.635286	0.907428	-0.326194	-0.326189	competition	0.1927	4	0.1155
akk_GCF_000020225.1	MGYG000000010	0.942832	1.269558	0.651272	0.876967	-0.309239	-0.309234	competition	0.7894	6	0.0272
akk_GCF_000020225.1	MGYG000000011	0.942832	1.792371	0.633138	1.203639	-0.328472	-0.328465	competition	0.8505	7	0.0430
akk_GCF_000020225.1	MGYG000000012	0.942832	1.692884	0.684449	1.228960	-0.274050	-0.274044	competition	0.8584	3	0.0605
akk_GCF_000020225.1	MGYG000000013	0.942832	-0.000000	0.942832	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	0.942832	1.963789	0.641486	1.336141	-0.319618	-0.319611	competition	0.5161	7	0.0391
akk_GCF_000020225.1	MGYG000000015	0.942832	2.146114	0.675124	1.536760	-0.283941	-0.283934	competition	0.9468	4	0.0379
akk_GCF_000020225.1	MGYG000000016	0.942832	0.675922	0.726985	0.521178	-0.228936	-0.228937	competition	-0.0000	1	0.0704
akk_GCF_000020225.1	MGYG000000017	0.942832	1.351286	0.703025	1.007597	-0.254348	-0.254342	competition	0.6689	2	0.0389
akk_GCF_000020225.1	MGYG000000018	0.942832	0.666256	0.848926	0.599895	-0.099601	-0.099602	competition	0.0249	8	0.0143
akk_GCF_000020225.1	MGYG000000019	0.942832	1.882161	0.736496	1.470267	-0.218848	-0.218841	competition	0.9700	5	0.0348
akk_GCF_000020225.1	MGYG000000020	0.942832	0.754003	0.751928	0.601330	-0.202479	-0.202484	competition	0.6104	6	0.0182
akk_GCF_000020225.1	MGYG000000021	0.942832	0.442371	0.885715	0.415568	-0.060581	-0.060590	competition	0.2726	8	0.0185
akk_GCF_000020225.1	MGYG000000022	0.942832	1.099579	0.733175	0.855070	-0.222370	-0.222366	competition	0.7292	7	0.0221
akk_GCF_000020225.1	MGYG000000023	0.942832	1.224363	0.664639	0.863106	-0.295061	-0.295057	competition	0.0000	2	0.2819
akk_GCF_000020225.1	MGYG000000024	0.942832	2.234880	0.672140	1.593251	-0.287106	-0.287098	competition	0.6669	7	0.0312
akk_GCF_000020225.1	MGYG000000025	0.942832	1.703785	0.660647	1.193861	-0.299295	-0.299289	competition	0.7028	5	0.0526
akk_GCF_000020225.1	MGYG000000026	0.942832	1.111848	0.695018	0.819614	-0.262840	-0.262836	competition	0.0033	3	0.1147
