species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.002424	1.779271	0.757004	1.343670	-0.244826	-0.244820	competition	0.1970	4	0.0666
akk_GCF_000020225.1	MGYG000000002	1.002424	0.951684	0.789797	0.749822	-0.212113	-0.212111	competition	0.8486	7	0.0437
akk_GCF_000020225.1	MGYG000000003	1.002424	0.464512	0.798070	0.369813	-0.203859	-0.203868	competition	0.3389	4	0.1460
akk_GCF_000020225.1	MGYG000000004	1.002424	1.476149	0.823502	1.212680	-0.178489	-0.178484	competition	0.9324	4	0.0171
akk_GCF_000020225.1	MGYG000000006	1.002424	1.970187	0.669679	1.316216	-0.331940	-0.331933	competition	-0.0000	1	0.2003
akk_GCF_000020225.1	MGYG000000007	1.002424	0.533994	0.997634	0.531437	-0.004778	-0.004788	competition	0.0007	5	0.0233
akk_GCF_000020225.1	MGYG000000008	1.002424	0.721561	0.845302	0.608458	-0.156741	-0.156747	competition	-0.0000	4	0.0163
akk_GCF_000020225.1	MGYG000000009	1.002424	1.346710	0.683256	0.917929	-0.318395	-0.318391	competition	0.0728	4	0.1191
akk_GCF_000020225.1	MGYG000000010	1.002424	1.379506	0.694580	0.955867	-0.307099	-0.307095	competition	0.8768	6	0.0306
akk_GCF_000020225.1	MGYG000000011	1.002424	1.953283	0.673399	1.312171	-0.328229	-0.328223	competition	0.8127	7	0.0463
akk_GCF_000020225.1	MGYG000000012	1.002424	1.850976	0.723897	1.336687	-0.277853	-0.277847	competition	0.8648	4	0.0664
akk_GCF_000020225.1	MGYG000000013	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.002424	2.122634	0.683722	1.447796	-0.317931	-0.317924	competition	0.6241	4	0.0600
akk_GCF_000020225.1	MGYG000000015	1.002424	2.321193	0.719200	1.665383	-0.282538	-0.282531	competition	0.9394	5	0.0451
akk_GCF_000020225.1	MGYG000000016	1.002424	0.718463	0.763241	0.547034	-0.238604	-0.238605	competition	-0.0000	1	0.0770
akk_GCF_000020225.1	MGYG000000017	1.002424	1.351286	0.756187	1.019361	-0.245641	-0.245637	competition	0.7048	2	0.0372
akk_GCF_000020225.1	MGYG000000018	1.002424	0.666256	0.911057	0.605528	-0.091146	-0.091148	competition	0.0256	8	0.0152
akk_GCF_000020225.1	MGYG000000019	1.002424	2.061109	0.778811	1.601347	-0.223072	-0.223065	competition	0.9694	6	0.0379
akk_GCF_000020225.1	MGYG000000020	1.002424	0.785503	0.791438	0.620170	-0.210476	-0.210481	competition	0.6071	6	0.0184
akk_GCF_000020225.1	MGYG000000021	1.002424	0.494109	0.915264	0.451144	-0.086949	-0.086956	competition	0.0032	5	0.0205
akk_GCF_000020225.1	MGYG000000022	1.002424	1.099579	0.790090	0.866669	-0.211820	-0.211817	competition	0.7323	7	0.0252
akk_GCF_000020225.1	MGYG000000023	1.002424	1.286973	0.696216	0.893851	-0.305467	-0.305463	competition	0.0000	2	0.3168
akk_GCF_000020225.1	MGYG000000024	1.002424	2.297266	0.716034	1.640960	-0.285698	-0.285690	competition	0.7054	7	0.0326
akk_GCF_000020225.1	MGYG000000025	1.002424	1.855834	0.700425	1.296742	-0.301268	-0.301262	competition	0.6898	8	0.0501
akk_GCF_000020225.1	MGYG000000026	1.002424	1.111848	0.746240	0.827703	-0.255565	-0.255562	competition	0.0051	3	0.1692
akk_GCF_000020225.1	MGYG000000027	1.002424	1.621140	0.759286	1.227942	-0.242550	-0.242544	competition	0.6946	8	0.0613
akk_GCF_000020225.1	MGYG000000028	1.002424	1.408265	0.749407	1.052818	-0.252405	-0.252400	competition	0.8731	6	0.1018
akk_GCF_000020225.1	MGYG000000029	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	1.002424	0.864462	0.933396	0.804935	-0.068861	-0.068860	competition	0.5518	5	0.0822
akk_GCF_000020225.1	MGYG000000031	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	1.002424	0.604847	0.852602	0.514445	-0.149459	-0.149463	competition	0.0000	4	0.1856
akk_GCF_000020225.1	MGYG000000034	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	1.002424	2.263814	0.710534	1.604645	-0.291184	-0.291176	competition	0.7722	6	0.0552
akk_GCF_000020225.1	MGYG000000036	1.002424	0.282463	0.872500	0.245847	-0.129609	-0.129630	competition	0.1044	4	0.1154
akk_GCF_000020225.1	MGYG000000037	1.002424	1.603820	0.740964	1.185508	-0.260828	-0.260822	competition	0.0913	6	0.0425
akk_GCF_000020225.1	MGYG000000038	1.002424	1.664013	0.686328	1.139307	-0.315331	-0.315326	competition	0.0143	4	0.0771
akk_GCF_000020225.1	MGYG000000039	1.002424	1.368580	0.762404	1.040894	-0.239439	-0.239435	competition	0.7175	5	0.0414
akk_GCF_000020225.1	MGYG000000040	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	1.002424	1.377322	0.782362	1.074966	-0.219529	-0.219525	competition	0.0004	5	0.0412
akk_GCF_000020225.1	MGYG000000042	1.002424	1.243398	0.592232	0.734604	-0.409200	-0.409196	competition	-0.0000	4	0.1596
akk_GCF_000020225.1	MGYG000000043	1.002424	1.394558	0.618891	0.860999	-0.382605	-0.382600	competition	-0.0000	2	0.1625
akk_GCF_000020225.1	MGYG000000044	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	1.002424	1.062738	0.720769	0.764140	-0.280973	-0.280971	competition	0.2115	5	0.0532
akk_GCF_000020225.1	MGYG000000046	1.002424	1.447642	0.682382	0.985464	-0.319268	-0.319263	competition	0.7429	8	0.0188
akk_GCF_000020225.1	MGYG000000047	1.002424	1.993694	0.810562	1.612119	-0.191397	-0.191391	competition	0.0293	6	0.0103
akk_GCF_000020225.1	MGYG000000048	1.002424	0.903493	0.845219	0.761805	-0.156824	-0.156823	competition	0.1248	3	0.1351
akk_GCF_000020225.1	MGYG000000049	1.002424	2.208472	0.730354	1.609082	-0.271412	-0.271405	competition	0.7437	5	0.0397
akk_GCF_000020225.1	MGYG000000050	1.002424	0.815548	0.830208	0.675437	-0.171800	-0.171799	competition	0.6668	6	0.0544
akk_GCF_000020225.1	MGYG000000051	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000052	1.002424	1.683135	0.758671	1.273868	-0.243163	-0.243157	competition	0.0128	7	0.0186
akk_GCF_000020225.1	MGYG000000053	1.002424	0.357430	0.868923	0.309823	-0.133178	-0.133192	competition	0.0216	6	0.0426
akk_GCF_000020225.1	MGYG000000054	1.002424	1.790630	0.660614	1.180066	-0.340983	-0.340977	competition	0.8510	6	0.0160
akk_GCF_000020225.1	MGYG000000055	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000056	1.002424	0.560125	0.757554	0.423296	-0.244278	-0.244283	competition	-0.0000	2	0.0291
akk_GCF_000020225.1	MGYG000000057	1.002424	1.374592	0.621264	0.851926	-0.380238	-0.380234	competition	-0.0000	4	0.1281
akk_GCF_000020225.1	MGYG000000058	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000059	1.002424	0.852436	0.790704	0.672396	-0.211208	-0.211207	competition	0.3249	8	0.0418
akk_GCF_000020225.1	MGYG000000060	1.002424	0.905600	0.697063	0.629735	-0.304623	-0.304622	competition	0.0060	3	0.2613
akk_GCF_000020225.1	MGYG000000061	1.002424	0.740533	0.803710	0.593734	-0.198233	-0.198234	competition	0.0000	3	0.0400
akk_GCF_000020225.1	MGYG000000062	1.002424	1.190639	0.891996	1.059483	-0.110160	-0.110156	competition	0.1029	7	0.0559
akk_GCF_000020225.1	MGYG000000063	1.002424	0.827903	0.962822	0.795197	-0.039506	-0.039505	competition	0.5169	5	0.0099
akk_GCF_000020225.1	MGYG000000064	1.002424	1.430842	0.707455	1.009815	-0.294256	-0.294251	competition	-0.0000	3	0.1435
akk_GCF_000020225.1	MGYG000000065	1.002424	1.444415	0.751799	1.083291	-0.250019	-0.250014	competition	0.8219	8	0.0363
akk_GCF_000020225.1	MGYG000000067	1.002424	1.373010	0.709218	0.971416	-0.292496	-0.292492	competition	0.0056	5	0.0959
akk_GCF_000020225.1	MGYG000000068	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000069	1.002424	0.794383	0.954219	0.756183	-0.048088	-0.048087	competition	-0.0000	5	0.0990
akk_GCF_000020225.1	MGYG000000070	1.002424	0.925557	0.799262	0.737976	-0.202670	-0.202668	competition	0.7235	7	0.0337
akk_GCF_000020225.1	MGYG000000071	1.002424	1.655648	0.810042	1.337912	-0.191917	-0.191911	competition	0.3265	5	0.0629
akk_GCF_000020225.1	MGYG000000072	1.002424	0.836652	0.963313	0.804010	-0.039016	-0.039015	competition	0.0100	5	0.0761
akk_GCF_000020225.1	MGYG000000073	1.002424	0.930575	0.934812	0.867811	-0.067448	-0.067446	competition	0.0002	9	0.0316
akk_GCF_000020225.1	MGYG000000074	1.002424	0.638172	0.824752	0.525059	-0.177242	-0.177245	competition	1.0000	3	0.0165
akk_GCF_000020225.1	MGYG000000075	1.002424	2.091260	0.689846	1.439173	-0.311822	-0.311815	competition	0.6953	7	0.0649
akk_GCF_000020225.1	MGYG000000076	1.002424	1.255860	0.755067	0.945972	-0.246758	-0.246754	competition	0.8150	6	0.0343
akk_GCF_000020225.1	MGYG000000077	1.002424	0.975911	0.853057	0.830497	-0.149005	-0.149003	competition	0.6873	7	0.0394
akk_GCF_000020225.1	MGYG000000078	1.002424	0.573378	0.802501	0.459022	-0.199439	-0.199444	competition	0.9755	5	0.0712
akk_GCF_000020225.1	MGYG000000079	1.002424	1.655180	0.713269	1.177743	-0.288456	-0.288450	competition	-0.0000	5	0.0456
akk_GCF_000020225.1	MGYG000000080	1.002424	1.547521	0.739348	1.141398	-0.262440	-0.262435	competition	0.1663	8	0.0172
akk_GCF_000020225.1	MGYG000000081	1.002424	0.768313	0.731223	0.560446	-0.270545	-0.270550	competition	0.2526	4	0.0608
akk_GCF_000020225.1	MGYG000000082	1.002424	0.546649	0.812557	0.443107	-0.189408	-0.189413	competition	0.5248	5	0.0541
akk_GCF_000020225.1	MGYG000000083	1.002424	1.461773	0.724458	1.056441	-0.277293	-0.277288	competition	0.9997	4	0.0250
akk_GCF_000020225.1	MGYG000000084	1.002424	1.258042	0.798789	1.002486	-0.203142	-0.203138	competition	0.6436	3	0.0373
akk_GCF_000020225.1	MGYG000000085	1.002424	1.389422	0.760998	1.054797	-0.240842	-0.240838	competition	0.6253	3	0.0779
akk_GCF_000020225.1	MGYG000000086	1.002424	0.868376	0.796231	0.689757	-0.205694	-0.205693	competition	0.5468	6	0.0428
akk_GCF_000020225.1	MGYG000000087	1.002424	1.042480	0.801754	0.833795	-0.200184	-0.200181	competition	0.6240	6	0.0520
akk_GCF_000020225.1	MGYG000000088	1.002424	1.086342	0.741262	0.803320	-0.260530	-0.260527	competition	0.1246	7	0.0931
akk_GCF_000020225.1	MGYG000000089	1.002424	0.440178	0.878160	0.385608	-0.123964	-0.123973	competition	0.2915	2	0.1896
akk_GCF_000020225.1	MGYG000000090	1.002424	0.618093	0.900680	0.555357	-0.101498	-0.101501	competition	0.6480	7	0.0463
akk_GCF_000020225.1	MGYG000000091	1.002424	0.711389	0.778478	0.552461	-0.223404	-0.223405	competition	0.9995	3	0.0897
