species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.252524	2.543029	0.928043	1.884243	-0.259061	-0.259055	competition	0.3626	4	0.0747
akk_GCF_000020225.1	MGYG000000002	1.252524	1.515032	0.963399	1.165317	-0.230833	-0.230830	competition	0.5375	6	0.1133
akk_GCF_000020225.1	MGYG000000003	1.252524	0.767275	0.899223	0.550847	-0.282071	-0.282074	competition	0.5342	4	0.0904
akk_GCF_000020225.1	MGYG000000004	1.252524	2.195674	0.995585	1.745272	-0.205137	-0.205131	competition	0.9596	4	0.0226
akk_GCF_000020225.1	MGYG000000006	1.252524	2.570426	0.838836	1.721472	-0.330283	-0.330278	competition	0.5019	6	0.0809
akk_GCF_000020225.1	MGYG000000007	1.252524	0.860330	1.185839	0.814525	-0.053240	-0.053241	competition	0.0008	5	0.0363
akk_GCF_000020225.1	MGYG000000008	1.252524	1.077399	1.046485	0.900165	-0.164498	-0.164502	competition	-0.0000	4	0.0218
akk_GCF_000020225.1	MGYG000000009	1.252524	1.848837	0.837126	1.235681	-0.331649	-0.331644	competition	1.0000	5	0.2828
akk_GCF_000020225.1	MGYG000000010	1.252524	1.832462	0.865568	1.266348	-0.308941	-0.308936	competition	0.4831	6	0.0204
akk_GCF_000020225.1	MGYG000000011	1.252524	2.555363	0.842093	1.718028	-0.327683	-0.327677	competition	0.8962	4	0.1325
akk_GCF_000020225.1	MGYG000000012	1.252524	2.506176	0.895449	1.791720	-0.285084	-0.285078	competition	0.8798	7	0.0766
akk_GCF_000020225.1	MGYG000000013	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.252524	2.720846	0.857365	1.862464	-0.315490	-0.315484	competition	0.7579	4	0.0531
akk_GCF_000020225.1	MGYG000000015	1.252524	3.030909	0.909044	2.199760	-0.274230	-0.274224	competition	0.9599	7	0.0406
akk_GCF_000020225.1	MGYG000000016	1.252524	1.161959	0.924633	0.857778	-0.261784	-0.261783	competition	-0.0000	1	0.1485
akk_GCF_000020225.1	MGYG000000017	1.252524	1.983565	0.911694	1.443818	-0.272115	-0.272110	competition	0.9513	2	0.0468
akk_GCF_000020225.1	MGYG000000018	1.252524	1.182444	1.059140	0.999882	-0.154395	-0.154393	competition	0.1459	5	0.1088
akk_GCF_000020225.1	MGYG000000019	1.252524	2.787748	0.962821	2.142971	-0.231295	-0.231289	competition	0.9675	6	0.0474
akk_GCF_000020225.1	MGYG000000020	1.252524	1.120877	0.994893	0.890321	-0.205689	-0.205692	competition	0.3478	6	0.0236
akk_GCF_000020225.1	MGYG000000021	1.252524	0.688151	1.056499	0.580451	-0.156503	-0.156507	competition	0.0830	8	0.0191
akk_GCF_000020225.1	MGYG000000022	1.252524	1.606912	0.957032	1.227820	-0.235917	-0.235913	competition	0.6001	5	0.1391
akk_GCF_000020225.1	MGYG000000023	1.252524	1.761103	0.854653	1.201686	-0.317656	-0.317651	competition	NaN	1	0.4901
akk_GCF_000020225.1	MGYG000000024	1.252524	3.023488	0.899488	2.171309	-0.281859	-0.281853	competition	0.7870	8	0.0370
akk_GCF_000020225.1	MGYG000000025	1.252524	2.431285	0.879206	1.706649	-0.298052	-0.298047	competition	0.6876	7	0.0433
akk_GCF_000020225.1	MGYG000000026	1.252524	1.570462	0.901862	1.130795	-0.279964	-0.279960	competition	0.0428	2	0.2450
akk_GCF_000020225.1	MGYG000000027	1.252524	2.193643	0.939827	1.646005	-0.249653	-0.249648	competition	0.6648	8	0.0680
akk_GCF_000020225.1	MGYG000000028	1.252524	1.940230	0.914212	1.416176	-0.270104	-0.270099	competition	1.0000	3	0.2756
akk_GCF_000020225.1	MGYG000000029	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	1.252524	1.372079	1.093274	1.197632	-0.127143	-0.127140	competition	0.6375	5	0.1614
akk_GCF_000020225.1	MGYG000000031	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	1.252524	1.100954	0.977303	0.859039	-0.219733	-0.219732	competition	0.0009	3	0.3270
akk_GCF_000020225.1	MGYG000000034	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	1.252524	2.992963	0.890388	2.127643	-0.289124	-0.289118	competition	0.8814	5	0.0495
akk_GCF_000020225.1	MGYG000000036	1.252524	0.709562	1.006920	0.570424	-0.196087	-0.196090	competition	0.1043	4	0.1962
akk_GCF_000020225.1	MGYG000000037	1.252524	2.210181	0.906105	1.598908	-0.276577	-0.276572	competition	0.0462	5	0.0565
akk_GCF_000020225.1	MGYG000000038	1.252524	2.212187	0.850151	1.501535	-0.321249	-0.321244	competition	-0.0000	2	0.1317
akk_GCF_000020225.1	MGYG000000039	1.252524	1.887466	0.930525	1.402245	-0.257080	-0.257075	competition	0.8551	7	0.2055
akk_GCF_000020225.1	MGYG000000040	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	1.252524	1.920591	0.943709	1.447071	-0.246554	-0.246549	competition	0.0023	4	0.1848
akk_GCF_000020225.1	MGYG000000042	1.252524	1.718540	0.765681	1.050569	-0.388689	-0.388685	competition	0.4837	5	0.3388
akk_GCF_000020225.1	MGYG000000043	1.252524	1.869656	0.790065	1.179347	-0.369221	-0.369217	competition	0.4538	6	0.1369
akk_GCF_000020225.1	MGYG000000044	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	1.252524	1.524313	0.878291	1.068880	-0.298783	-0.298779	competition	-0.0000	1	0.3734
akk_GCF_000020225.1	MGYG000000046	1.252524	1.596916	0.881466	1.123839	-0.296248	-0.296244	competition	0.6696	9	0.0225
akk_GCF_000020225.1	MGYG000000047	1.252524	2.794132	0.987204	2.202272	-0.211828	-0.211822	competition	0.0163	6	0.0131
akk_GCF_000020225.1	MGYG000000048	1.252524	1.446372	0.986927	1.139674	-0.212050	-0.212046	competition	0.5642	4	0.1264
akk_GCF_000020225.1	MGYG000000049	1.252524	2.936750	0.913071	2.140866	-0.271015	-0.271008	competition	0.8282	5	0.0417
akk_GCF_000020225.1	MGYG000000050	1.252524	1.438841	0.996585	1.144835	-0.204339	-0.204335	competition	0.6705	6	0.0828
akk_GCF_000020225.1	MGYG000000051	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000052	1.252524	2.299843	0.927992	1.703961	-0.259102	-0.259097	competition	0.0381	7	0.0246
akk_GCF_000020225.1	MGYG000000053	1.252524	0.603941	0.964387	0.465004	-0.230045	-0.230051	competition	0.0648	7	0.0437
akk_GCF_000020225.1	MGYG000000054	1.252524	2.499963	0.864822	1.726149	-0.309536	-0.309530	competition	0.8092	6	0.0212
akk_GCF_000020225.1	MGYG000000055	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000056	1.252524	0.815348	0.874204	0.569074	-0.302046	-0.302047	competition	0.1256	5	0.0091
akk_GCF_000020225.1	MGYG000000057	1.252524	1.883792	0.792392	1.191763	-0.367364	-0.367360	competition	0.6238	6	0.0281
akk_GCF_000020225.1	MGYG000000058	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000059	1.252524	0.989840	0.993346	0.785019	-0.206924	-0.206924	competition	0.2933	7	0.0453
akk_GCF_000020225.1	MGYG000000060	1.252524	1.407703	0.860189	0.966765	-0.313235	-0.313232	competition	-0.0000	1	0.3084
akk_GCF_000020225.1	MGYG000000061	1.252524	1.138900	0.955153	0.868508	-0.237417	-0.237415	competition	0.0000	3	0.0402
akk_GCF_000020225.1	MGYG000000062	1.252524	1.358830	1.111930	1.206308	-0.112248	-0.112245	competition	0.3459	6	0.0536
akk_GCF_000020225.1	MGYG000000063	1.252524	0.973396	1.211205	0.941286	-0.032988	-0.032987	competition	0.5167	5	0.0112
akk_GCF_000020225.1	MGYG000000064	1.252524	1.946461	0.870776	1.353222	-0.304783	-0.304778	competition	-0.0000	3	0.2060
akk_GCF_000020225.1	MGYG000000065	1.252524	2.005166	0.917634	1.469051	-0.267372	-0.267367	competition	0.9813	5	0.1949
akk_GCF_000020225.1	MGYG000000067	1.252524	1.985185	0.875937	1.388324	-0.300662	-0.300658	competition	0.0068	5	0.1081
akk_GCF_000020225.1	MGYG000000068	1.252524	-0.000000	1.252524	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000069	1.252524	1.497246	1.107797	1.324248	-0.115548	-0.115545	competition	-0.0000	4	0.1573
akk_GCF_000020225.1	MGYG000000070	1.252524	1.503130	0.977903	1.173568	-0.219254	-0.219251	competition	0.8005	7	0.0411
akk_GCF_000020225.1	MGYG000000071	1.252524	2.445944	0.984782	1.923109	-0.213762	-0.213756	competition	0.3126	6	0.0560
akk_GCF_000020225.1	MGYG000000072	1.252524	0.991590	1.184329	0.937603	-0.054446	-0.054445	competition	0.0106	5	0.0333
