species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.317590	2.964047	1.019890	2.294359	-0.225943	-0.225937	competition	0.2948	4	0.0778
akk_GCF_000020225.1	MGYG000000002	1.317590	1.857208	1.052664	1.483789	-0.201069	-0.201065	competition	0.6546	6	0.1098
akk_GCF_000020225.1	MGYG000000003	1.317590	0.863386	0.932859	0.611280	-0.291996	-0.291998	competition	0.3562	7	0.0870
akk_GCF_000020225.1	MGYG000000004	1.317590	2.568837	1.052203	2.051438	-0.201419	-0.201414	competition	0.9487	4	0.0241
akk_GCF_000020225.1	MGYG000000006	1.317590	2.906863	0.900500	1.986697	-0.316555	-0.316550	competition	0.4452	6	0.0856
akk_GCF_000020225.1	MGYG000000007	1.317590	1.047170	1.258789	1.000438	-0.044628	-0.044628	competition	0.0010	6	0.0358
akk_GCF_000020225.1	MGYG000000008	1.317590	1.154186	1.095979	0.960055	-0.168194	-0.168197	competition	-0.0000	4	0.0224
akk_GCF_000020225.1	MGYG000000009	1.317590	2.118139	0.892718	1.435130	-0.322462	-0.322457	competition	1.0000	5	0.2193
akk_GCF_000020225.1	MGYG000000010	1.317590	2.083318	0.932230	1.474012	-0.292473	-0.292469	competition	0.7143	5	0.0233
akk_GCF_000020225.1	MGYG000000011	1.317590	2.892831	0.903471	1.983629	-0.314301	-0.314295	competition	0.9224	6	0.0628
akk_GCF_000020225.1	MGYG000000012	1.317590	2.837729	0.954322	2.055364	-0.275707	-0.275701	competition	0.9026	9	0.0715
akk_GCF_000020225.1	MGYG000000013	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.317590	3.209242	0.927486	2.259088	-0.296074	-0.296068	competition	0.6834	6	0.0636
akk_GCF_000020225.1	MGYG000000015	1.317590	3.389542	0.970313	2.496182	-0.263570	-0.263564	competition	0.9999	5	0.0599
akk_GCF_000020225.1	MGYG000000016	1.317590	1.161959	0.982358	0.866325	-0.254428	-0.254427	competition	1.0000	1	0.2135
akk_GCF_000020225.1	MGYG000000017	1.317590	2.129651	0.949465	1.534651	-0.279393	-0.279388	competition	0.9783	2	0.0435
akk_GCF_000020225.1	MGYG000000018	1.317590	1.454453	1.103680	1.218327	-0.162350	-0.162347	competition	0.0101	7	0.0199
akk_GCF_000020225.1	MGYG000000019	1.317590	3.150649	1.022586	2.445248	-0.223896	-0.223891	competition	0.9867	5	0.0356
akk_GCF_000020225.1	MGYG000000020	1.317590	1.194579	1.043991	0.946519	-0.207652	-0.207654	competition	0.2936	5	0.0249
akk_GCF_000020225.1	MGYG000000021	1.317590	0.725517	1.098621	0.604942	-0.166189	-0.166193	competition	0.0969	7	0.0176
akk_GCF_000020225.1	MGYG000000022	1.317590	1.905994	1.051394	1.520929	-0.202033	-0.202028	competition	0.4476	9	0.1510
akk_GCF_000020225.1	MGYG000000023	1.317590	2.026874	0.911180	1.401694	-0.308450	-0.308445	competition	1.0000	1	0.4190
akk_GCF_000020225.1	MGYG000000024	1.317590	3.433419	0.957777	2.495827	-0.273084	-0.273078	competition	0.7518	8	0.0372
akk_GCF_000020225.1	MGYG000000025	1.317590	2.730197	0.943053	1.954127	-0.284260	-0.284254	competition	0.7010	7	0.0311
akk_GCF_000020225.1	MGYG000000026	1.317590	1.832207	0.956426	1.329988	-0.274110	-0.274106	competition	0.0675	2	0.3632
akk_GCF_000020225.1	MGYG000000027	1.317590	2.276100	1.068729	1.846210	-0.188876	-0.188871	competition	0.6060	8	0.0676
akk_GCF_000020225.1	MGYG000000028	1.317590	2.242634	0.969833	1.650737	-0.263934	-0.263930	competition	0.9999	2	0.3804
akk_GCF_000020225.1	MGYG000000029	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	1.317590	1.553976	1.169733	1.379597	-0.112218	-0.112215	competition	0.0000	4	0.2314
akk_GCF_000020225.1	MGYG000000031	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	1.317590	1.326965	1.023124	1.030407	-0.223488	-0.223486	competition	0.0008	3	0.3500
akk_GCF_000020225.1	MGYG000000034	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	1.317590	3.158120	0.971689	2.329051	-0.262526	-0.262520	competition	0.9412	5	0.0494
akk_GCF_000020225.1	MGYG000000036	1.317590	0.709562	1.067852	0.575068	-0.189541	-0.189545	competition	0.1044	4	0.1949
akk_GCF_000020225.1	MGYG000000037	1.317590	2.413740	0.985348	1.805106	-0.252159	-0.252154	competition	0.0456	5	0.0578
akk_GCF_000020225.1	MGYG000000038	1.317590	2.387465	0.924995	1.676097	-0.297964	-0.297959	competition	0.0679	4	0.1163
akk_GCF_000020225.1	MGYG000000039	1.317590	2.193360	1.022660	1.702407	-0.223841	-0.223836	competition	0.0034	7	0.1249
akk_GCF_000020225.1	MGYG000000040	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	1.317590	2.328605	1.006636	1.779061	-0.236002	-0.235997	competition	-0.0000	4	0.2342
akk_GCF_000020225.1	MGYG000000042	1.317590	1.985660	0.832297	1.254313	-0.368319	-0.368314	competition	0.6648	8	0.1164
akk_GCF_000020225.1	MGYG000000043	1.317590	2.136751	0.854412	1.385619	-0.351535	-0.351530	competition	0.5408	8	0.0914
akk_GCF_000020225.1	MGYG000000044	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	1.317590	1.787748	0.934770	1.268333	-0.290546	-0.290542	competition	0.0587	4	0.0540
akk_GCF_000020225.1	MGYG000000046	1.317590	1.596916	0.950503	1.152013	-0.278605	-0.278601	competition	0.5436	9	0.0176
akk_GCF_000020225.1	MGYG000000047	1.317590	3.379867	1.052833	2.700736	-0.200940	-0.200934	competition	0.0197	6	0.0133
akk_GCF_000020225.1	MGYG000000048	1.317590	1.749860	1.035625	1.375396	-0.214000	-0.213997	competition	0.1562	3	0.1699
akk_GCF_000020225.1	MGYG000000049	1.317590	3.180900	0.996236	2.405112	-0.243895	-0.243889	competition	0.8175	5	0.0423
akk_GCF_000020225.1	MGYG000000050	1.317590	1.644076	1.075349	1.341815	-0.183852	-0.183848	competition	0.6140	6	0.0967
akk_GCF_000020225.1	MGYG000000051	1.317590	-0.000000	1.317590	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
