model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	pfba_time_s
MGYG000000002__gradient_L0_base_gapseq	1401	1622	530	bio1	0.428154	1.454610	6.358498
MGYG000000002__gradient_L1_inulin_gapseq	1401	1622	530	bio1	0.595638	1.427440	6.323518
MGYG000000002__gradient_L2_fos_gapseq	1401	1622	530	bio1	0.595638	1.520832	6.388112
MGYG000000002__gradient_L3_gos_gapseq	1401	1622	530	bio1	0.891223	1.456250	6.381674
MGYG000000002__gradient_L4_xos_gapseq	1401	1622	530	bio1	0.951684	1.511818	6.615187
MGYG000000002__gradient_L5_pectin_gapseq	1401	1622	530	bio1	0.951684	1.415352	6.531574
MGYG000000002__gradient_L6_resistant_starch_gapseq	1401	1622	530	bio1	1.515032	1.392039	6.476081
MGYG000000002__gradient_L7_bglucan_gapseq	1401	1622	530	bio1	1.715172	1.394624	6.346147
MGYG000000002__gradient_L8_hmo_gapseq	1401	1622	530	bio1	1.857208	1.482841	6.340325
MGYG000000002__gradient_L9_mos_gapseq	1401	1622	530	bio1	1.857208	1.473811	6.437953
MGYG000000004__gradient_L0_base_gapseq	1526	1709	496	bio1	1.199885	1.560794	7.009380
MGYG000000004__gradient_L1_inulin_gapseq	1526	1709	496	bio1	1.364819	1.468059	7.070849
MGYG000000004__gradient_L2_fos_gapseq	1526	1709	496	bio1	1.364819	1.470892	6.988464
MGYG000000004__gradient_L3_gos_gapseq	1526	1709	496	bio1	1.463779	1.557137	7.025323
MGYG000000004__gradient_L4_xos_gapseq	1526	1709	496	bio1	1.476149	1.601550	7.176537
MGYG000000004__gradient_L5_pectin_gapseq	1526	1709	496	bio1	1.476149	1.636541	7.055154
MGYG000000004__gradient_L6_resistant_starch_gapseq	1526	1709	496	bio1	2.195674	1.583783	7.071671
MGYG000000004__gradient_L7_bglucan_gapseq	1526	1709	496	bio1	2.436890	1.573283	7.044336
MGYG000000004__gradient_L8_hmo_gapseq	1526	1709	496	bio1	2.436890	1.470157	7.152602
MGYG000000004__gradient_L9_mos_gapseq	1526	1709	496	bio1	2.568837	1.472545	7.136350
MGYG000000008__gradient_L0_base_gapseq	1166	1322	318	bio1	0.444794	1.146146	4.266956
