model_id	n_metabolites	n_reactions	n_genes	biomass_rxn	growth_rate	load_time_s	fba_time_s
MGYG000000002__gradient_L0_base_gapseq	1401	1622	530	R_EX_cpd11416_c0	0.428154	0.030062	0.030113
MGYG000000002__gradient_L1_inulin_gapseq	1401	1622	530	R_EX_cpd11416_c0	0.595638	0.030062	0.024138
MGYG000000002__gradient_L2_fos_gapseq	1401	1622	530	R_EX_cpd11416_c0	0.595638	0.030062	0.022411
MGYG000000002__gradient_L3_gos_gapseq	1401	1622	530	R_EX_cpd11416_c0	0.891223	0.030062	0.022465
MGYG000000002__gradient_L4_xos_gapseq	1401	1622	530	R_EX_cpd11416_c0	0.951684	0.030062	0.022802
MGYG000000002__gradient_L5_pectin_gapseq	1401	1622	530	R_EX_cpd11416_c0	0.951684	0.030062	0.022738
MGYG000000002__gradient_L6_resistant_starch_gapseq	1401	1622	530	R_EX_cpd11416_c0	1.515032	0.030062	0.024026
MGYG000000002__gradient_L7_bglucan_gapseq	1401	1622	530	R_EX_cpd11416_c0	1.715172	0.030062	0.024726
MGYG000000002__gradient_L8_hmo_gapseq	1401	1622	530	R_EX_cpd11416_c0	1.857208	0.030062	0.024099
MGYG000000002__gradient_L9_mos_gapseq	1401	1622	530	R_EX_cpd11416_c0	1.857208	0.030062	0.024088
MGYG000000004__gradient_L0_base_gapseq	1526	1709	496	R_EX_cpd11416_c0	1.199885	0.017223	0.026118
MGYG000000004__gradient_L1_inulin_gapseq	1526	1709	496	R_EX_cpd11416_c0	1.364819	0.017223	0.025872
MGYG000000004__gradient_L2_fos_gapseq	1526	1709	496	R_EX_cpd11416_c0	1.364819	0.017223	0.025725
MGYG000000004__gradient_L3_gos_gapseq	1526	1709	496	R_EX_cpd11416_c0	1.463779	0.017223	0.026788
MGYG000000004__gradient_L4_xos_gapseq	1526	1709	496	R_EX_cpd11416_c0	1.476149	0.017223	0.026080
MGYG000000004__gradient_L5_pectin_gapseq	1526	1709	496	R_EX_cpd11416_c0	1.476149	0.017223	0.026184
MGYG000000004__gradient_L6_resistant_starch_gapseq	1526	1709	496	R_EX_cpd11416_c0	2.195674	0.017223	0.026794
MGYG000000004__gradient_L7_bglucan_gapseq	1526	1709	496	R_EX_cpd11416_c0	2.436890	0.017223	0.026072
MGYG000000004__gradient_L8_hmo_gapseq	1526	1709	496	R_EX_cpd11416_c0	2.436890	0.017223	0.025981
MGYG000000004__gradient_L9_mos_gapseq	1526	1709	496	R_EX_cpd11416_c0	2.568837	0.017223	0.026354
MGYG000000008__gradient_L0_base_gapseq	1166	1322	318	R_EX_cpd11416_c0	0.444794	0.013280	0.016564
MGYG000000008__gradient_L1_inulin_gapseq	1166	1322	318	R_EX_cpd11416_c0	0.602946	0.013280	0.016634
MGYG000000008__gradient_L2_fos_gapseq	1166	1322	318	R_EX_cpd11416_c0	0.602946	0.013280	0.016557
MGYG000000008__gradient_L3_gos_gapseq	1166	1322	318	R_EX_cpd11416_c0	0.721561	0.013280	0.016710
