model_id	fastmic_growth	cobra_growth	abs_diff	rel_diff_pct
MGYG000000002__gradient_L0_base_gapseq	0.42815400	0.42815400	0.00e+00	0.0000
MGYG000000002__gradient_L1_inulin_gapseq	0.59563800	0.59563800	0.00e+00	0.0000
MGYG000000002__gradient_L2_fos_gapseq	0.59563800	0.59563800	0.00e+00	0.0000
MGYG000000002__gradient_L3_gos_gapseq	0.89122300	0.89122300	0.00e+00	0.0000
MGYG000000002__gradient_L4_xos_gapseq	0.95168400	0.95168400	0.00e+00	0.0000
MGYG000000002__gradient_L5_pectin_gapseq	0.95168400	0.95168400	0.00e+00	0.0000
MGYG000000002__gradient_L6_resistant_starch_gapseq	1.51503200	1.51503200	0.00e+00	0.0000
MGYG000000002__gradient_L7_bglucan_gapseq	1.71517200	1.71517200	0.00e+00	0.0000
MGYG000000002__gradient_L8_hmo_gapseq	1.85720800	1.85720800	0.00e+00	0.0000
MGYG000000002__gradient_L9_mos_gapseq	1.85720800	1.85720800	0.00e+00	0.0000
MGYG000000004__gradient_L0_base_gapseq	1.19988500	1.19988500	0.00e+00	0.0000
MGYG000000004__gradient_L1_inulin_gapseq	1.36481900	1.36481900	0.00e+00	0.0000
MGYG000000004__gradient_L2_fos_gapseq	1.36481900	1.36481900	0.00e+00	0.0000
MGYG000000004__gradient_L3_gos_gapseq	1.46377900	1.46377900	0.00e+00	0.0000
MGYG000000004__gradient_L4_xos_gapseq	1.47614900	1.47614900	0.00e+00	0.0000
MGYG000000004__gradient_L5_pectin_gapseq	1.47614900	1.47614900	0.00e+00	0.0000
MGYG000000004__gradient_L6_resistant_starch_gapseq	2.19567400	2.19567400	0.00e+00	0.0000
MGYG000000004__gradient_L7_bglucan_gapseq	2.43689000	2.43689000	0.00e+00	0.0000
MGYG000000004__gradient_L8_hmo_gapseq	2.43689000	2.43689000	0.00e+00	0.0000
MGYG000000004__gradient_L9_mos_gapseq	2.56883700	2.56883700	0.00e+00	0.0000
MGYG000000008__gradient_L0_base_gapseq	0.44479400	0.44479400	0.00e+00	0.0000
MGYG000000008__gradient_L1_inulin_gapseq	0.60294600	0.60294600	0.00e+00	0.0000
MGYG000000008__gradient_L2_fos_gapseq	0.60294600	0.60294600	0.00e+00	0.0000
MGYG000000008__gradient_L3_gos_gapseq	0.72156100	0.72156100	0.00e+00	0.0000
MGYG000000008__gradient_L4_xos_gapseq	0.72156100	0.72156100	0.00e+00	0.0000
MGYG000000008__gradient_L5_pectin_gapseq	0.72156100	0.72156100	0.00e+00	0.0000
MGYG000000008__gradient_L6_resistant_starch_gapseq	1.07739900	1.07739900	0.00e+00	0.0000
MGYG000000008__gradient_L7_bglucan_gapseq	1.07739900	1.07739900	0.00e+00	0.0000
MGYG000000008__gradient_L8_hmo_gapseq	1.07739900	1.07739900	0.00e+00	0.0000
MGYG000000008__gradient_L9_mos_gapseq	1.15418600	1.15418600	0.00e+00	0.0000
MGYG000000009__gradient_L0_base_gapseq	0.88445400	0.88445400	0.00e+00	0.0000
MGYG000000009__gradient_L1_inulin_gapseq	1.11068700	1.11068700	0.00e+00	0.0000
MGYG000000009__gradient_L2_fos_gapseq	1.11068700	1.11068700	0.00e+00	0.0000
MGYG000000009__gradient_L3_gos_gapseq	1.34671000	1.34671000	0.00e+00	0.0000
MGYG000000009__gradient_L4_xos_gapseq	1.34671000	1.34671000	0.00e+00	0.0000
MGYG000000009__gradient_L5_pectin_gapseq	1.34671000	1.34671000	0.00e+00	0.0000
MGYG000000009__gradient_L6_resistant_starch_gapseq	1.84883700	1.84883700	0.00e+00	0.0000
MGYG000000009__gradient_L7_bglucan_gapseq	2.00794700	2.00794700	0.00e+00	0.0000
MGYG000000009__gradient_L8_hmo_gapseq	2.00794700	2.00794700	0.00e+00	0.0000
MGYG000000009__gradient_L9_mos_gapseq	2.11813900	2.11813900	0.00e+00	0.0000
MGYG000000011__gradient_L0_base_gapseq	1.24169500	1.24169500	0.00e+00	0.0000
MGYG000000011__gradient_L1_inulin_gapseq	1.51077500	1.51077500	0.00e+00	0.0000
MGYG000000011__gradient_L2_fos_gapseq	1.51077500	1.51077500	0.00e+00	0.0000
MGYG000000011__gradient_L3_gos_gapseq	1.79237100	1.79237100	0.00e+00	0.0000
MGYG000000011__gradient_L4_xos_gapseq	1.95328300	1.95328300	0.00e+00	0.0000
MGYG000000011__gradient_L5_pectin_gapseq	1.95328300	1.95328300	0.00e+00	0.0000
MGYG000000011__gradient_L6_resistant_starch_gapseq	2.55536300	2.55536300	0.00e+00	0.0000
