tool	n_pairs	n_prob	n_uhgg	threads	solver	rep	wall_s	sec_per_pair
fast-mic	102	6	17	1	highs	1	11.669	0.11441
fast-mic	102	6	17	1	highs	2	11.564	0.11337
fast-mic	102	6	17	1	highs	3	11.555	0.11329
SMETANA	102	6	17	1	cplex	1	84.456	0.82800
SMETANA	102	6	17	1	cplex	2	84.232	0.82581
SMETANA	102	6	17	1	cplex	3	84.194	0.82543
fast-mic	498	6	83	1	highs	1	52.114	0.10465
fast-mic	498	6	83	1	highs	2	52.371	0.10516
fast-mic	498	6	83	1	highs	3	52.053	0.10452
SMETANA	498	6	83	1	cplex	1	379.839	0.76273
SMETANA	498	6	83	1	cplex	2	382.415	0.76790
SMETANA	498	6	83	1	cplex	3	383.456	0.76999
fast-mic	1002	6	167	1	highs	1	102.080	0.10188
fast-mic	1002	6	167	1	highs	2	101.948	0.10174
fast-mic	1002	6	167	1	highs	3	102.002	0.10180
SMETANA	1002	6	167	1	cplex	1	757.246	0.75573
SMETANA	1002	6	167	1	cplex	2	756.992	0.75548
SMETANA	1002	6	167	1	cplex	3	760.179	0.75866
