tool	n_pairs	n_prob	n_uhgg	threads	solver	rep	wall_s	sec_per_pair
fast-mic	100	10	10	1	highs	1	10.956	0.10956
fast-mic	100	10	10	1	highs	2	11.221	0.11221
fast-mic	100	10	10	1	highs	3	10.746	0.10746
SMETANA	100	10	10	1	cplex	1	88.875	0.88875
SMETANA	100	10	10	1	cplex	2	88.597	0.88597
SMETANA	100	10	10	1	cplex	3	87.930	0.87930
fast-mic	500	10	50	1	highs	1	56.359	0.11272
fast-mic	500	10	50	1	highs	2	56.726	0.11345
fast-mic	500	10	50	1	highs	3	56.690	0.11338
SMETANA	500	10	50	1	cplex	1	432.377	0.86475
SMETANA	500	10	50	1	cplex	2	436.871	0.87374
SMETANA	500	10	50	1	cplex	3	425.692	0.85138
fast-mic	1000	10	100	1	highs	1	108.729	0.10873
fast-mic	1000	10	100	1	highs	2	109.183	0.10918
fast-mic	1000	10	100	1	highs	3	106.538	0.10654
SMETANA	1000	10	100	1	cplex	1	791.153	0.79115
SMETANA	1000	10	100	1	cplex	2	789.185	0.78918
SMETANA	1000	10	100	1	cplex	3	792.483	0.79248
