strain	level	growth
akk_GCF_000020225.1	L0	0.845716
akk_GCF_000020225.1	L1	0.942832
akk_GCF_000020225.1	L2	0.942832
akk_GCF_000020225.1	L3	0.942832
akk_GCF_000020225.1	L4	1.002424
akk_GCF_000020225.1	L5	1.002424
akk_GCF_000020225.1	L6	1.252524
akk_GCF_000020225.1	L7	1.252524
akk_GCF_000020225.1	L8	1.252524
akk_GCF_000020225.1	L9	1.317590
akk_GCF_018847015.1	L0	0.321910
akk_GCF_018847015.1	L1	0.418486
akk_GCF_018847015.1	L2	0.418486
akk_GCF_018847015.1	L3	0.418486
akk_GCF_018847015.1	L4	0.472810
akk_GCF_018847015.1	L5	0.472810
akk_GCF_018847015.1	L6	0.720286
akk_GCF_018847015.1	L7	0.720286
akk_GCF_018847015.1	L8	0.720286
akk_GCF_018847015.1	L9	0.808814
akk_GCF_018847135.1	L0	0.703602
akk_GCF_018847135.1	L1	0.799007
akk_GCF_018847135.1	L2	0.799007
akk_GCF_018847135.1	L3	0.799007
akk_GCF_018847135.1	L4	0.856038
akk_GCF_018847135.1	L5	0.856038
akk_GCF_018847135.1	L6	1.083520
akk_GCF_018847135.1	L7	1.083520
akk_GCF_018847135.1	L8	1.083520
akk_GCF_018847135.1	L9	1.171319
akk_GCF_018847155.1	L0	0.821436
akk_GCF_018847155.1	L1	0.918553
akk_GCF_018847155.1	L2	0.918553
akk_GCF_018847155.1	L3	0.918553
akk_GCF_018847155.1	L4	0.978024
akk_GCF_018847155.1	L5	0.978024
akk_GCF_018847155.1	L6	1.228124
akk_GCF_018847155.1	L7	1.228124
akk_GCF_018847155.1	L8	1.228124
akk_GCF_018847155.1	L9	1.293190
akk_GCF_023516715.1	L0	0.765487
akk_GCF_023516715.1	L1	0.862693
akk_GCF_023516715.1	L2	0.862693
akk_GCF_023516715.1	L3	0.862693
akk_GCF_023516715.1	L4	0.921940
akk_GCF_023516715.1	L5	0.921940
akk_GCF_023516715.1	L6	1.153954
akk_GCF_023516715.1	L7	1.153954
akk_GCF_023516715.1	L8	1.153954
akk_GCF_023516715.1	L9	1.243503
akk_GCF_026072915.1	L0	0.715354
akk_GCF_026072915.1	L1	0.811269
akk_GCF_026072915.1	L2	0.811269
akk_GCF_026072915.1	L3	0.811269
akk_GCF_026072915.1	L4	0.868655
akk_GCF_026072915.1	L5	0.868655
akk_GCF_026072915.1	L6	1.115411
akk_GCF_026072915.1	L7	1.115411
akk_GCF_026072915.1	L8	1.115411
akk_GCF_026072915.1	L9	1.203682
