strain	level	growth
L_acidophilus_NCFM_GCF_000011985.1	L0	0.416785
L_acidophilus_NCFM_GCF_000011985.1	L1	0.575564
L_acidophilus_NCFM_GCF_000011985.1	L2	0.575564
L_acidophilus_NCFM_GCF_000011985.1	L3	0.739305
L_acidophilus_NCFM_GCF_000011985.1	L4	0.739305
L_acidophilus_NCFM_GCF_000011985.1	L5	0.739305
L_acidophilus_NCFM_GCF_000011985.1	L6	1.092575
L_acidophilus_NCFM_GCF_000011985.1	L7	1.092575
L_acidophilus_NCFM_GCF_000011985.1	L8	1.092575
L_acidophilus_NCFM_GCF_000011985.1	L9	1.169416
L_casei_ATCC393_GCF_000829055.1	L0	0.786227
L_casei_ATCC393_GCF_000829055.1	L1	1.005747
L_casei_ATCC393_GCF_000829055.1	L2	1.005747
L_casei_ATCC393_GCF_000829055.1	L3	1.214066
L_casei_ATCC393_GCF_000829055.1	L4	1.227506
L_casei_ATCC393_GCF_000829055.1	L5	1.258866
L_casei_ATCC393_GCF_000829055.1	L6	1.740343
L_casei_ATCC393_GCF_000829055.1	L7	1.890781
L_casei_ATCC393_GCF_000829055.1	L8	1.890781
L_casei_ATCC393_GCF_000829055.1	L9	1.996972
L_crispatus_M247_GCF_026740115.1	L0	0.387843
L_crispatus_M247_GCF_026740115.1	L1	0.546962
L_crispatus_M247_GCF_026740115.1	L2	0.546962
L_crispatus_M247_GCF_026740115.1	L3	0.711053
L_crispatus_M247_GCF_026740115.1	L4	0.741824
L_crispatus_M247_GCF_026740115.1	L5	0.741824
L_crispatus_M247_GCF_026740115.1	L6	1.099623
L_crispatus_M247_GCF_026740115.1	L7	1.099623
L_crispatus_M247_GCF_026740115.1	L8	1.099623
L_crispatus_M247_GCF_026740115.1	L9	1.176959
L_crispatus_ST1_GCF_000091765.1	L0	0.386705
L_crispatus_ST1_GCF_000091765.1	L1	0.545357
L_crispatus_ST1_GCF_000091765.1	L2	0.545357
L_crispatus_ST1_GCF_000091765.1	L3	0.708967
L_crispatus_ST1_GCF_000091765.1	L4	0.708967
L_crispatus_ST1_GCF_000091765.1	L5	0.708967
L_crispatus_ST1_GCF_000091765.1	L6	1.066261
L_crispatus_ST1_GCF_000091765.1	L7	1.066261
L_crispatus_ST1_GCF_000091765.1	L8	1.066261
L_crispatus_ST1_GCF_000091765.1	L9	1.143283
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L0	0.144051
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L1	0.223534
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L2	0.223534
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L3	0.283145
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L4	0.283145
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L5	0.283145
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L6	0.613493
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L7	0.723251
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L8	0.723251
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	L9	0.801496
L_gasseri_ATCC33323_GCF_000014425.1	L0	0.387059
L_gasseri_ATCC33323_GCF_000014425.1	L1	0.545856
L_gasseri_ATCC33323_GCF_000014425.1	L2	0.545856
L_gasseri_ATCC33323_GCF_000014425.1	L3	0.664954
L_gasseri_ATCC33323_GCF_000014425.1	L4	0.664954
L_gasseri_ATCC33323_GCF_000014425.1	L5	0.664954
L_gasseri_ATCC33323_GCF_000014425.1	L6	1.023845
L_gasseri_ATCC33323_GCF_000014425.1	L7	1.023845
L_gasseri_ATCC33323_GCF_000014425.1	L8	1.023845
L_gasseri_ATCC33323_GCF_000014425.1	L9	1.100935
L_paracasei_ATCC334_GCF_000014525.1	L0	0.741472
L_paracasei_ATCC334_GCF_000014525.1	L1	0.961004
L_paracasei_ATCC334_GCF_000014525.1	L2	0.961004
L_paracasei_ATCC334_GCF_000014525.1	L3	1.176056
L_paracasei_ATCC334_GCF_000014525.1	L4	1.236539
L_paracasei_ATCC334_GCF_000014525.1	L5	1.236539
L_paracasei_ATCC334_GCF_000014525.1	L6	1.747288
L_paracasei_ATCC334_GCF_000014525.1	L7	1.915298
