species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	0.852600	1.779271	0.698013	1.456681	-0.181312	-0.181304	competition	0.1722	5	0.0664
akk_GCF_000020225.1	MGYG000000002	0.852600	0.951684	0.604580	0.674845	-0.290898	-0.290894	competition	0.6759	5	0.0683
akk_GCF_000020225.1	MGYG000000003	0.852600	0.464512	0.607117	0.330764	-0.287923	-0.287934	competition	0.2755	7	0.0357
akk_GCF_000020225.1	MGYG000000004	0.852600	1.476149	0.775451	1.342587	-0.090487	-0.090480	competition	0.9409	5	0.0151
akk_GCF_000020225.1	MGYG000000006	0.852600	1.970187	0.623020	1.439690	-0.269270	-0.269262	competition	0.6598	4	0.1526
akk_GCF_000020225.1	MGYG000000007	0.852600	0.533994	0.788574	0.493889	-0.075094	-0.075103	competition	0.0006	5	0.0227
akk_GCF_000020225.1	MGYG000000008	0.852600	0.721561	0.818938	0.693070	-0.039481	-0.039485	competition	-0.0000	4	0.0218
akk_GCF_000020225.1	MGYG000000009	0.852600	1.346710	0.639491	1.010106	-0.249952	-0.249946	competition	0.0000	6	0.0988
akk_GCF_000020225.1	MGYG000000010	0.852600	1.379506	0.678992	1.098618	-0.203621	-0.203615	competition	0.8520	9	0.0166
akk_GCF_000020225.1	MGYG000000011	0.852600	1.953283	0.626807	1.436014	-0.264828	-0.264820	competition	0.8876	4	0.0835
akk_GCF_000020225.1	MGYG000000012	0.852600	1.889620	0.678563	1.503917	-0.204125	-0.204117	competition	0.9101	5	0.0564
akk_GCF_000020225.1	MGYG000000013	0.852600	-0.000000	0.852600	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	0.852600	2.122634	0.628527	1.564801	-0.262811	-0.262802	competition	0.9696	5	0.0624
akk_GCF_000020225.1	MGYG000000015	0.852600	2.364437	0.668102	1.852809	-0.216394	-0.216385	competition	0.9547	8	0.0379
akk_GCF_000020225.1	MGYG000000016	0.852600	0.718463	0.591418	0.498373	-0.306335	-0.306335	competition	0.0000	2	0.1458
akk_GCF_000020225.1	MGYG000000017	0.852600	1.351286	0.723906	1.147329	-0.150942	-0.150936	competition	0.7223	2	0.0441
akk_GCF_000020225.1	MGYG000000018	0.852600	0.666256	0.692321	0.541007	-0.187988	-0.187989	competition	0.0318	10	0.0137
akk_GCF_000020225.1	MGYG000000019	0.852600	2.107911	0.726870	1.797084	-0.147466	-0.147458	competition	0.9734	6	0.0260
akk_GCF_000020225.1	MGYG000000020	0.852600	0.785503	0.759751	0.699959	-0.108901	-0.108904	competition	0.4837	5	0.0242
akk_GCF_000020225.1	MGYG000000021	0.852600	0.494109	0.788917	0.457198	-0.074693	-0.074703	competition	0.0015	7	0.0121
