species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.100024	1.948525	0.816176	1.445743	-0.258038	-0.258032	competition	0.2014	4	0.0753
akk_GCF_000020225.1	MGYG000000002	1.100024	1.056646	0.853088	0.819450	-0.224482	-0.224480	competition	0.7051	6	0.0704
akk_GCF_000020225.1	MGYG000000003	1.100024	0.574893	0.834439	0.436091	-0.241435	-0.241441	competition	0.0266	5	0.0754
akk_GCF_000020225.1	MGYG000000004	1.100024	1.641083	0.880271	1.313250	-0.199771	-0.199766	competition	0.9334	4	0.0184
akk_GCF_000020225.1	MGYG000000006	1.100024	2.102088	0.724664	1.384808	-0.341228	-0.341223	competition	0.4285	6	0.0790
akk_GCF_000020225.1	MGYG000000007	1.100024	0.613106	1.052060	0.586367	-0.043603	-0.043611	competition	0.0008	5	0.0257
akk_GCF_000020225.1	MGYG000000008	1.100024	0.800637	0.905168	0.658810	-0.177138	-0.177143	competition	-0.0000	4	0.0185
akk_GCF_000020225.1	MGYG000000009	1.100024	1.457779	0.733436	0.971975	-0.333254	-0.333250	competition	0.7113	4	0.1504
akk_GCF_000020225.1	MGYG000000010	1.100024	1.478614	0.748165	1.005664	-0.319865	-0.319860	competition	0.7209	5	0.0187
akk_GCF_000020225.1	MGYG000000011	1.100024	2.085589	0.728313	1.380857	-0.337911	-0.337906	competition	0.8400	7	0.0470
akk_GCF_000020225.1	MGYG000000012	1.100024	1.980962	0.779326	1.403449	-0.291537	-0.291532	competition	0.8373	4	0.0806
akk_GCF_000020225.1	MGYG000000013	1.100024	-0.000000	1.100024	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.100024	2.261350	0.741134	1.523585	-0.326256	-0.326249	competition	0.7174	6	0.0558
akk_GCF_000020225.1	MGYG000000015	1.100024	2.463645	0.779662	1.746170	-0.291231	-0.291225	competition	0.9432	5	0.0456
akk_GCF_000020225.1	MGYG000000016	1.100024	0.794092	0.821339	0.592913	-0.253344	-0.253345	competition	NaN	0	0.2149
akk_GCF_000020225.1	MGYG000000017	1.100024	1.497372	0.804613	1.095260	-0.268550	-0.268545	competition	0.7425	2	0.0452
akk_GCF_000020225.1	MGYG000000018	1.100024	0.759116	0.967808	0.667874	-0.120194	-0.120195	competition	0.0322	8	0.0209
akk_GCF_000020225.1	MGYG000000019	1.100024	2.215280	0.836766	1.685134	-0.239320	-0.239313	competition	0.9651	4	0.0451
akk_GCF_000020225.1	MGYG000000020	1.100024	0.860092	0.852215	0.666331	-0.225276	-0.225280	competition	0.5026	5	0.0210
akk_GCF_000020225.1	MGYG000000021	1.100024	0.557369	0.974326	0.493677	-0.114268	-0.114274	competition	0.0371	5	0.0207
akk_GCF_000020225.1	MGYG000000022	1.100024	1.217735	0.842826	0.933019	-0.233811	-0.233808	competition	0.7063	7	0.0344
akk_GCF_000020225.1	MGYG000000023	1.100024	1.398280	0.746339	0.948703	-0.321525	-0.321521	competition	0.1444	2	0.4499
akk_GCF_000020225.1	MGYG000000024	1.100024	2.463735	0.776622	1.739426	-0.293995	-0.293988	competition	0.7101	7	0.0320
akk_GCF_000020225.1	MGYG000000025	1.100024	1.976081	0.756913	1.359729	-0.311912	-0.311906	competition	0.7182	7	0.0497
akk_GCF_000020225.1	MGYG000000026	1.100024	1.219231	0.795725	0.881960	-0.276629	-0.276626	competition	0.0087	3	0.1687
akk_GCF_000020225.1	MGYG000000027	1.100024	1.745645	0.817621	1.297505	-0.256724	-0.256719	competition	0.6135	8	0.0652
akk_GCF_000020225.1	MGYG000000028	1.100024	1.531875	0.804275	1.120027	-0.268857	-0.268852	competition	0.7613	6	0.0890
akk_GCF_000020225.1	MGYG000000029	1.100024	-0.000000	1.100024	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	1.100024	0.955940	0.998687	0.867878	-0.092122	-0.092121	competition	0.6609	3	0.1274
akk_GCF_000020225.1	MGYG000000031	1.100024	-0.000000	1.100024	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	1.100024	0.715239	0.891130	0.579415	-0.189899	-0.189901	competition	-0.0000	2	0.2002
akk_GCF_000020225.1	MGYG000000034	1.100024	-0.000000	1.100024	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	1.100024	2.425660	0.772537	1.703537	-0.297708	-0.297702	competition	0.8424	5	0.0450
akk_GCF_000020225.1	MGYG000000036	1.100024	0.354776	0.923073	0.297701	-0.160861	-0.160875	competition	0.1044	4	0.1025
akk_GCF_000020225.1	MGYG000000037	1.100024	1.743918	0.794845	1.260112	-0.277429	-0.277424	competition	0.0127	5	0.0518
akk_GCF_000020225.1	MGYG000000038	1.100024	1.785348	0.739858	1.200806	-0.327416	-0.327411	competition	0.1391	5	0.1321
akk_GCF_000020225.1	MGYG000000039	1.100024	1.489427	0.816132	1.105046	-0.258077	-0.258073	competition	0.7441	5	0.0602
akk_GCF_000020225.1	MGYG000000040	1.100024	-0.000000	1.100024	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	1.100024	1.503559	0.836383	1.143211	-0.239668	-0.239663	competition	0.0004	5	0.0592
akk_GCF_000020225.1	MGYG000000042	1.100024	1.347409	0.643610	0.788357	-0.414913	-0.414909	competition	-0.0000	1	0.2143
akk_GCF_000020225.1	MGYG000000043	1.100024	1.498559	0.670890	0.913958	-0.390113	-0.390109	competition	-0.0000	1	0.1978
akk_GCF_000020225.1	MGYG000000044	1.100024	-0.000000	1.100024	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	1.100024	1.170814	0.769658	0.819192	-0.300326	-0.300323	competition	1.0000	1	0.2928
akk_GCF_000020225.1	MGYG000000046	1.100024	1.596916	0.736367	1.069000	-0.330589	-0.330585	competition	0.6819	9	0.0205
