species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.002424	1.948525	0.767445	1.491783	-0.234411	-0.234404	competition	0.1880	4	0.0683
akk_GCF_000020225.1	MGYG000000002	1.002424	1.056646	0.798589	0.841789	-0.203341	-0.203338	competition	0.7014	6	0.0783
akk_GCF_000020225.1	MGYG000000003	1.002424	0.574893	0.808737	0.463811	-0.193218	-0.193223	competition	0.0395	5	0.0814
akk_GCF_000020225.1	MGYG000000004	1.002424	1.641083	0.834088	1.365508	-0.167928	-0.167923	competition	0.9405	4	0.0189
akk_GCF_000020225.1	MGYG000000006	1.002424	2.102088	0.683123	1.432526	-0.318529	-0.318522	competition	0.5164	7	0.0763
akk_GCF_000020225.1	MGYG000000007	1.002424	0.613106	1.014594	0.620545	0.012141	0.012133	mutualism	0.0009	6	0.0232
akk_GCF_000020225.1	MGYG000000008	1.002424	0.800637	0.867838	0.693140	-0.134260	-0.134265	competition	-0.0000	4	0.0171
akk_GCF_000020225.1	MGYG000000009	1.002424	1.457779	0.696995	1.013616	-0.304690	-0.304685	competition	-0.0000	3	0.1295
akk_GCF_000020225.1	MGYG000000010	1.002424	1.478614	0.710624	1.048205	-0.291095	-0.291090	competition	0.7925	6	0.0222
akk_GCF_000020225.1	MGYG000000011	1.002424	2.085589	0.686681	1.428687	-0.314979	-0.314972	competition	0.9037	7	0.0574
akk_GCF_000020225.1	MGYG000000012	1.002424	1.980962	0.735355	1.453201	-0.266423	-0.266417	competition	0.8724	4	0.0675
akk_GCF_000020225.1	MGYG000000013	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.002424	2.261350	0.695562	1.569122	-0.306120	-0.306113	competition	0.7246	7	0.0408
akk_GCF_000020225.1	MGYG000000015	1.002424	2.463645	0.733054	1.801637	-0.268718	-0.268711	competition	0.9431	5	0.0437
akk_GCF_000020225.1	MGYG000000016	1.002424	0.794092	0.772431	0.611898	-0.229436	-0.229436	competition	-0.0000	1	0.0769
akk_GCF_000020225.1	MGYG000000017	1.002424	1.497372	0.767782	1.146884	-0.234074	-0.234069	competition	0.7217	2	0.0429
akk_GCF_000020225.1	MGYG000000018	1.002424	0.759116	0.914969	0.692888	-0.087243	-0.087244	competition	0.0330	8	0.0216
akk_GCF_000020225.1	MGYG000000019	1.002424	2.215280	0.788544	1.742638	-0.213363	-0.213356	competition	0.9643	5	0.0445
akk_GCF_000020225.1	MGYG000000020	1.002424	0.860092	0.814438	0.698795	-0.187531	-0.187535	competition	0.5778	6	0.0189
akk_GCF_000020225.1	MGYG000000021	1.002424	0.557369	0.938227	0.521672	-0.064041	-0.064046	competition	0.0040	6	0.0252
akk_GCF_000020225.1	MGYG000000022	1.002424	1.217735	0.804527	0.977336	-0.197418	-0.197415	competition	0.7199	7	0.0331
akk_GCF_000020225.1	MGYG000000023	1.002424	1.398280	0.710065	0.990476	-0.291651	-0.291647	competition	0.0000	2	0.3299
