species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000001	0.739305	1.779271	0.600578	1.445414	-0.187646	-0.187637	competition	0.9021	5	0.0698
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000002	0.739305	0.951684	0.734047	0.944921	-0.007112	-0.007107	competition	0.5551	9	0.0297
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000003	0.739305	0.464512	0.691205	0.434295	-0.065062	-0.065052	competition	0.7807	5	0.0067
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000004	0.739305	1.476149	0.684145	1.366017	-0.074611	-0.074607	competition	0.9649	8	0.0376
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000006	0.739305	1.970187	0.536318	1.429263	-0.274564	-0.274555	competition	0.4961	5	0.0526
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000007	0.739305	0.533994	0.451696	0.326255	-0.389026	-0.389029	competition	1.0000	2	0.3010
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000008	0.739305	0.721561	0.408734	0.398922	-0.447138	-0.447140	competition	1.0000	1	0.8164
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000009	0.739305	1.346710	0.476170	0.867397	-0.355922	-0.355914	competition	0.9904	6	0.0637
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000010	0.739305	1.379506	0.503484	0.939487	-0.318976	-0.318968	competition	1.0000	5	0.1160
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000011	0.739305	1.953283	0.535278	1.414252	-0.275971	-0.275962	competition	0.9163	5	0.0882
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000012	0.739305	1.889620	0.526298	1.345204	-0.288118	-0.288109	competition	0.6613	5	0.0374
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000013	0.739305	-0.000000	0.739305	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000014	0.739305	2.122634	0.544479	1.563285	-0.263526	-0.263516	competition	0.8228	5	0.0550
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000015	0.739305	2.364437	0.557864	1.784180	-0.245421	-0.245410	competition	0.9309	7	0.0512
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000016	0.739305	0.718463	0.670714	0.651807	-0.092777	-0.092776	competition	0.9144	6	0.0408
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000017	0.739305	1.351286	0.522763	0.955500	-0.292899	-0.292896	competition	1.0000	4	0.0682
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000018	0.739305	0.666256	0.763536	0.688096	0.032775	0.032779	mutualism	0.9049	7	0.0321
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000019	0.739305	2.107911	0.539587	1.538495	-0.270143	-0.270133	competition	0.7505	6	0.0682
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000020	0.739305	0.785503	0.442120	0.469750	-0.401978	-0.401975	competition	0.9296	5	0.5517
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000021	0.739305	0.494109	0.496037	0.331519	-0.329049	-0.329057	competition	0.8600	5	0.1570
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	0.739305	1.099579	0.552576	0.821857	-0.252573	-0.252572	competition	0.4335	5	0.0303
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000023	0.739305	1.286973	0.474880	0.826675	-0.357667	-0.357660	competition	0.9637	5	0.0713
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000024	0.739305	2.297266	0.561503	1.744801	-0.240498	-0.240488	competition	0.9808	5	0.0630
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000025	0.739305	1.888778	0.532883	1.361419	-0.279211	-0.279207	competition	0.5159	6	0.0341
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000026	0.739305	1.111848	0.458581	0.689667	-0.379713	-0.379711	competition	0.9994	5	0.0595
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000027	0.739305	1.621140	0.534601	1.172282	-0.276887	-0.276878	competition	0.8583	5	0.0481
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000028	0.739305	1.408265	0.509340	0.970223	-0.311056	-0.311050	competition	1.0000	7	0.0366
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000029	0.739305	-0.000000	0.739305	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000030	0.739305	0.864462	0.567964	0.664118	-0.231759	-0.231755	competition	0.0053	5	0.0457
