species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000001	0.817819	1.948525	0.654727	1.559961	-0.199423	-0.199414	competition	0.9217	5	0.0697
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000002	0.817819	1.056646	0.794972	1.027132	-0.027936	-0.027931	competition	0.5524	9	0.0289
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000003	0.817819	0.574893	0.724902	0.509582	-0.113615	-0.113606	competition	0.9425	5	0.0141
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000004	0.817819	1.641083	0.736304	1.477517	-0.099673	-0.099670	competition	0.3648	7	0.0365
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000006	0.817819	2.102088	0.586990	1.508795	-0.282249	-0.282240	competition	0.6986	5	0.0443
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000007	0.817819	0.613106	0.489751	0.367158	-0.401150	-0.401151	competition	1.0000	2	0.3984
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000008	0.817819	0.800637	0.447457	0.438055	-0.452865	-0.452867	competition	1.0000	2	0.7681
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000009	0.817819	1.457779	0.522663	0.931668	-0.360906	-0.360899	competition	0.9905	6	0.0640
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000010	0.817819	1.478614	0.548797	0.992234	-0.328950	-0.328943	competition	0.4410	7	0.1225
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000011	0.817819	2.085589	0.585940	1.494273	-0.283534	-0.283525	competition	0.6306	6	0.0366
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000012	0.817819	1.980962	0.573078	1.388156	-0.299260	-0.299252	competition	0.7097	5	0.0425
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000013	0.817819	-0.000000	0.817819	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000014	0.817819	2.261350	0.596278	1.648788	-0.270892	-0.270883	competition	1.0000	5	0.0563
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000015	0.817819	2.463645	0.609718	1.836773	-0.254459	-0.254449	competition	0.9797	8	0.0522
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000016	0.817819	0.794092	0.727387	0.706285	-0.110577	-0.110575	competition	0.9229	6	0.0417
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000017	0.817819	1.497372	0.572890	1.048928	-0.299490	-0.299488	competition	1.0000	4	0.0655
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000018	0.817819	0.759116	0.818743	0.759977	0.001130	0.001134	mutualism	0.9106	7	0.0326
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000019	0.817819	2.215280	0.588568	1.594314	-0.280320	-0.280311	competition	0.8469	5	0.0788
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000020	0.817819	0.860092	0.481571	0.506466	-0.411152	-0.411149	competition	0.9296	5	0.6239
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000021	0.817819	0.557369	0.537727	0.366474	-0.342487	-0.342494	competition	0.7909	4	0.1940
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	0.817819	1.217735	0.601041	0.894954	-0.265068	-0.265067	competition	0.4286	4	0.0310
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000023	0.817819	1.398280	0.521167	0.891083	-0.362736	-0.362729	competition	0.2107	5	0.0742
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000024	0.817819	2.463735	0.616017	1.855817	-0.246756	-0.246747	competition	0.9825	5	0.0575
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000025	0.817819	1.976081	0.580590	1.402877	-0.290075	-0.290071	competition	0.8797	6	0.1136
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000026	0.817819	1.219231	0.504487	0.752107	-0.383131	-0.383130	competition	0.9994	5	0.0601
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000027	0.817819	1.745645	0.589070	1.257392	-0.279705	-0.279697	competition	0.8593	5	0.0486
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000028	0.817819	1.531875	0.557981	1.045173	-0.317721	-0.317716	competition	0.9032	8	0.0315
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000029	0.817819	-0.000000	0.817819	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
