species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000001	1.092575	2.543029	0.843631	1.963614	-0.227851	-0.227844	competition	0.9893	5	0.0694
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000002	1.092575	1.515032	0.976122	1.353558	-0.106586	-0.106581	competition	0.4951	7	0.0320
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000003	1.092575	0.767275	0.936416	0.657616	-0.142927	-0.142920	competition	0.7142	6	0.0065
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000004	1.092575	2.195674	0.926608	1.862145	-0.151904	-0.151903	competition	0.1937	6	0.0431
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000006	1.092575	2.570426	0.766969	1.804413	-0.298017	-0.298010	competition	0.7884	7	0.0487
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000007	1.092575	0.860330	0.634097	0.499309	-0.419631	-0.419631	competition	1.0000	2	0.3804
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000008	1.092575	1.077399	0.581933	0.573850	-0.467375	-0.467375	competition	1.0000	2	0.6841
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000009	1.092575	1.848837	0.685061	1.159259	-0.372985	-0.372979	competition	0.9903	6	0.0668
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000010	1.092575	1.832462	0.711574	1.193458	-0.348719	-0.348713	competition	0.9494	9	0.0801
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000011	1.092575	2.555363	0.763832	1.786501	-0.300888	-0.300882	competition	0.7380	8	0.0580
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000012	1.092575	2.506176	0.752997	1.727261	-0.310805	-0.310798	competition	0.7886	5	0.0639
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000013	1.092575	-0.000000	1.092575	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000014	1.092575	2.720846	0.780881	1.944652	-0.285284	-0.285277	competition	1.0000	2	0.0580
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000015	1.092575	3.030909	0.800818	2.221567	-0.267037	-0.267029	competition	0.9970	6	0.0611
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000016	1.092575	1.161959	0.882912	0.938985	-0.191898	-0.191895	competition	0.8676	6	0.0435
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000017	1.092575	1.983565	0.755325	1.371291	-0.308675	-0.308674	competition	0.9917	4	0.0557
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000018	1.092575	1.182444	0.968319	1.047968	-0.113727	-0.113727	competition	1.0000	6	0.0438
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000019	1.092575	2.787748	0.782438	1.996442	-0.283858	-0.283851	competition	0.9956	6	0.0811
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000020	1.092575	1.120877	0.620463	0.636538	-0.432109	-0.432107	competition	0.9296	4	0.7845
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000021	1.092575	0.688151	0.719855	0.453391	-0.341139	-0.341146	competition	0.8011	3	0.2885
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	1.092575	1.606912	0.778603	1.145135	-0.287369	-0.287369	competition	0.4558	6	0.0315
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000023	1.092575	1.761103	0.688634	1.110007	-0.369715	-0.369710	competition	0.1476	5	0.0587
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000024	1.092575	3.023488	0.810443	2.242764	-0.258227	-0.258220	competition	0.9864	7	0.0470
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000025	1.092575	2.431285	0.761031	1.693511	-0.303452	-0.303450	competition	0.5798	8	0.0303
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000026	1.092575	1.570462	0.672112	0.966091	-0.384837	-0.384836	competition	0.9994	5	0.0636
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000027	1.092575	2.193643	0.780578	1.567238	-0.285561	-0.285555	competition	0.9114	5	0.0542
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000028	1.092575	1.940230	0.734199	1.303819	-0.328010	-0.328008	competition	1.0000	7	0.0393
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000029	1.092575	-0.000000	1.092575	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000030	1.092575	1.372079	0.769134	0.965899	-0.296036	-0.296032	competition	0.0055	5	0.0479
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000031	1.092575	-0.000000	1.092575	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000033	1.092575	1.100954	0.757280	0.763088	-0.306885	-0.306885	competition	0.1430	5	0.0786
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000034	1.092575	-0.000000	1.092575	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000035	1.092575	2.992963	0.842938	2.309123	-0.228485	-0.228483	competition	0.9637	6	0.0525
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000036	1.092575	0.709562	0.976727	0.634323	-0.106032	-0.106035	competition	0.0211	5	0.0172
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000037	1.092575	2.210181	0.785789	1.589584	-0.280792	-0.280790	competition	0.9646	3	0.0753
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000038	1.092575	2.212187	0.750593	1.519766	-0.313006	-0.313003	competition	1.0000	2	0.0758
