species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000001	0.496175	1.430185	0.389131	1.121660	-0.215738	-0.215724	competition	0.8599	5	0.0660
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000002	0.496175	0.559810	0.536076	0.604831	0.080418	0.080423	mutualism	0.4817	6	0.0414
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000003	0.496175	0.367929	0.458547	0.340033	-0.075835	-0.075821	competition	0.8604	5	0.0100
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000004	0.496175	1.364819	0.397914	1.094546	-0.198037	-0.198028	competition	0.3947	6	0.0324
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000006	0.496175	1.399750	0.363040	1.024185	-0.268323	-0.268309	competition	0.5590	7	0.0366
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000007	0.496175	0.259863	0.331967	0.173858	-0.330947	-0.330962	competition	1.0000	1	0.2674
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000008	0.496175	0.523870	0.276209	0.291631	-0.443324	-0.443315	competition	1.0000	1	0.2536
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000009	0.496175	0.999617	0.330857	0.666573	-0.333183	-0.333172	competition	0.9902	6	0.0588
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000010	0.496175	1.010173	0.332783	0.677532	-0.329303	-0.329291	competition	0.4185	5	0.1071
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000011	0.496175	1.374000	0.361210	1.000278	-0.272010	-0.271995	competition	0.6119	8	0.0354
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000012	0.496175	1.262086	0.352603	0.896910	-0.289357	-0.289343	competition	0.4642	7	0.0370
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000013	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000014	0.496175	1.501160	0.370005	1.119461	-0.254284	-0.254269	competition	1.0000	3	0.0787
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000015	0.496175	1.634215	0.375714	1.237488	-0.242779	-0.242763	competition	0.5712	6	0.0470
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000016	0.496175	0.411221	0.492896	0.408502	-0.006608	-0.006614	competition	0.8606	7	0.0322
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000017	0.496175	0.902205	0.361357	0.657068	-0.271714	-0.271708	competition	1.0000	5	0.0618
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000018	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000019	0.496175	1.361100	0.358046	0.982207	-0.278387	-0.278373	competition	0.5647	10	0.0424
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000020	0.496175	0.574468	0.288863	0.334447	-0.417820	-0.417814	competition	1.0000	3	0.5093
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000021	0.496175	0.277655	0.347712	0.194572	-0.299214	-0.299231	competition	0.3737	7	0.1073
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	0.496175	0.863259	0.362256	0.630268	-0.269903	-0.269897	competition	0.4231	5	0.0379
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000023	0.496175	0.888467	0.317157	0.567922	-0.360795	-0.360785	competition	0.2315	6	0.0866
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000024	0.496175	1.726479	0.383934	1.335956	-0.226212	-0.226196	competition	1.0000	5	0.0399
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000025	0.496175	1.295786	0.359750	0.939525	-0.274953	-0.274939	competition	0.0113	5	0.0591
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000026	0.496175	0.761171	0.314887	0.483065	-0.365371	-0.365367	competition	0.9993	5	0.0774
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000027	0.496175	1.214755	0.363676	0.890383	-0.267040	-0.267027	competition	0.7041	5	0.0479
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000028	0.496175	1.001543	0.345840	0.698098	-0.302987	-0.302978	competition	0.8773	6	0.0287
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000029	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000030	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000031	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000033	0.496175	0.390962	0.412633	0.325135	-0.168371	-0.168373	competition	0.2134	7	0.0545
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000034	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000035	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000036	0.496175	0.171733	0.569610	0.197146	0.148002	0.147977	mutualism	0.0380	5	0.0145
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000037	0.496175	1.100343	0.381316	0.845634	-0.231489	-0.231481	competition	0.9219	4	0.0670
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000038	0.496175	1.191673	0.360839	0.866648	-0.272757	-0.272747	competition	0.3477	3	0.0375
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000039	0.496175	0.923830	0.357393	0.665442	-0.279703	-0.279692	competition	0.4016	8	0.0338
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000040	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000041	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000042	0.496175	1.101564	0.364867	0.810060	-0.264640	-0.264628	competition	0.8485	4	0.0439
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000043	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000044	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000045	0.496175	0.759137	0.331145	0.506651	-0.332604	-0.332596	competition	0.9994	5	0.0592
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000046	0.496175	1.274045	0.355273	0.912266	-0.283975	-0.283961	competition	0.9828	5	0.0569
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000047	0.496175	1.419237	0.401989	1.149854	-0.189823	-0.189808	competition	0.1233	7	0.0300
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000048	0.496175	0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000049	0.496175	1.697217	0.407180	1.392827	-0.179362	-0.179347	competition	0.7686	6	0.0523
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000050	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000051	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000052	0.496175	1.149133	0.365284	0.846007	-0.263800	-0.263787	competition	1.0000	6	0.0444
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000053	0.496175	0.183520	0.435194	0.160959	-0.122901	-0.122931	competition	0.5331	7	0.0444
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000054	0.496175	1.588210	0.426537	1.365321	-0.140349	-0.140340	competition	0.4582	7	0.0194
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000055	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000056	0.496175	0.396774	0.497859	0.398118	0.003396	0.003389	mutualism	0.2412	9	0.0106
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000057	0.496175	-0.000000	0.496175	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
