cpd	name	class	level	n_mut_pairs	n_export	prevalence
cpd00363	Ethanol	alcohol/diol	L0	841	414	49.23
cpd00082	D-Fructose	sugar	L0	841	306	36.39
cpd00116	Methanol	alcohol/diol	L0	841	295	35.08
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L0	841	262	31.15
cpd00130	L-Malate	organic acid	L0	841	248	29.49
cpd00324	MTTL	other	L0	841	247	29.37
cpd00047	Formate	organic acid	L0	841	229	27.23
cpd00118	Putrescine	other	L0	841	226	26.87
cpd00029	Acetate	organic acid	L0	841	170	20.21
cpd00105	D-Ribose	sugar	L0	841	170	20.21
cpd00453	1,2-Propanediol	alcohol/diol	L0	841	160	19.02
cpd00359	indol	other	L0	841	140	16.65
cpd00644	PAN	other	L0	841	138	16.41
cpd00020	Pyruvate	organic acid	L0	841	128	15.22
cpd00141	Propionate	organic acid	L0	841	93	11.06
cpd00367	Cytidine	nucleoside	L0	841	92	10.94
cpd00106	Fumarate	organic acid	L0	841	85	10.11
cpd00024	2-Oxoglutarate	organic acid	L0	841	79	9.39
cpd00221	D-Lactate	organic acid	L0	841	63	7.49
cpd00159	L-Lactate	organic acid	L0	841	56	6.66
cpd00036	Succinate	organic acid	L0	841	55	6.54
cpd00281	GABA	other	L0	841	40	4.76
cpd00588	Sorbitol	alcohol/diol	L0	841	25	2.97
cpd00065	L-Tryptophan	amino acid	L0	841	7	0.83
cpd00092	Uracil	other	L0	841	6	0.71
cpd00107	L-Leucine	amino acid	L0	841	6	0.71
cpd00129	L-Proline	amino acid	L0	841	6	0.71
cpd00393	Folate	other	L0	841	6	0.71
cpd01080	ocdca	other	L0	841	6	0.71
cpd00218	Niacin	other	L0	841	5	0.59
cpd00322	L-Isoleucine	amino acid	L0	841	5	0.59
cpd00028	Heme	other	L0	841	4	0.48
cpd00066	L-Phenylalanine	amino acid	L0	841	4	0.48
cpd00080	Glycerol-3-phosphate	alcohol/diol	L0	841	4	0.48
cpd00154	Xylose	sugar	L0	841	3	0.36
cpd00182	Adenosine	nucleoside	L0	841	3	0.36
cpd00306	Xylitol	other	L0	841	3	0.36
cpd00035	L-Alanine	amino acid	L0	841	2	0.24
cpd00060	L-Methionine	amino acid	L0	841	1	0.12
cpd00363	Ethanol	alcohol/diol	L1	965	590	61.14
cpd00116	Methanol	alcohol/diol	L1	965	427	44.25
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L1	965	301	31.19
cpd00324	MTTL	other	L1	965	299	30.98
cpd00644	PAN	other	L1	965	276	28.60
cpd00105	D-Ribose	sugar	L1	965	273	28.29
cpd00020	Pyruvate	organic acid	L1	965	237	24.56
cpd00047	Formate	organic acid	L1	965	236	24.46
cpd00118	Putrescine	other	L1	965	234	24.25
cpd00453	1,2-Propanediol	alcohol/diol	L1	965	194	20.10
cpd00359	indol	other	L1	965	166	17.20
cpd00130	L-Malate	organic acid	L1	965	164	16.99
cpd00367	Cytidine	nucleoside	L1	965	133	13.78
cpd00036	Succinate	organic acid	L1	965	123	12.75
cpd00029	Acetate	organic acid	L1	965	122	12.64
cpd00106	Fumarate	organic acid	L1	965	114	11.81
cpd00141	Propionate	organic acid	L1	965	110	11.40
cpd00221	D-Lactate	organic acid	L1	965	78	8.08
cpd00159	L-Lactate	organic acid	L1	965	59	6.11
cpd00281	GABA	other	L1	965	44	4.56
cpd00024	2-Oxoglutarate	organic acid	L1	965	40	4.15
cpd00588	Sorbitol	alcohol/diol	L1	965	39	4.04
cpd00065	L-Tryptophan	amino acid	L1	965	21	2.18
cpd00092	Uracil	other	L1	965	14	1.45
cpd00107	L-Leucine	amino acid	L1	965	14	1.45
cpd00129	L-Proline	amino acid	L1	965	14	1.45
cpd00306	Xylitol	other	L1	965	14	1.45
cpd00322	L-Isoleucine	amino acid	L1	965	14	1.45
cpd00393	Folate	other	L1	965	14	1.45
cpd01080	ocdca	other	L1	965	14	1.45
cpd00028	Heme	other	L1	965	13	1.35
cpd00218	Niacin	other	L1	965	13	1.35
cpd00066	L-Phenylalanine	amino acid	L1	965	11	1.14
cpd00080	Glycerol-3-phosphate	alcohol/diol	L1	965	9	0.93
cpd00263	Pyridoxol	other	L1	965	7	0.73
cpd00064	Ornithine	other	L1	965	6	0.62
cpd00182	Adenosine	nucleoside	L1	965	5	0.52
cpd00154	Xylose	sugar	L1	965	4	0.41
cpd00035	L-Alanine	amino acid	L1	965	2	0.21
cpd00076	Sucrose	other	L1	965	2	0.21
cpd00276	GLUM	other	L1	965	1	0.10
cpd00363	Ethanol	alcohol/diol	L2	965	590	61.14
cpd00116	Methanol	alcohol/diol	L2	965	427	44.25
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L2	965	301	31.19
cpd00324	MTTL	other	L2	965	299	30.98
cpd00644	PAN	other	L2	965	276	28.60
cpd00105	D-Ribose	sugar	L2	965	273	28.29
cpd00020	Pyruvate	organic acid	L2	965	237	24.56
cpd00047	Formate	organic acid	L2	965	236	24.46
cpd00118	Putrescine	other	L2	965	234	24.25
cpd00453	1,2-Propanediol	alcohol/diol	L2	965	194	20.10
cpd00359	indol	other	L2	965	166	17.20
cpd00130	L-Malate	organic acid	L2	965	164	16.99
cpd00367	Cytidine	nucleoside	L2	965	133	13.78
cpd00036	Succinate	organic acid	L2	965	123	12.75
cpd00029	Acetate	organic acid	L2	965	122	12.64
cpd00106	Fumarate	organic acid	L2	965	114	11.81
