cpd	name	class	level	n_mut_pairs	n_export	prevalence
cpd00020	Pyruvate	organic acid	L0	3213	1178	36.66
cpd00363	Ethanol	alcohol/diol	L0	3213	1815	56.49
cpd00130	L-Malate	organic acid	L0	3213	1531	47.65
cpd00246	Inosine	nucleoside	L0	3213	1289	40.12
cpd00367	Cytidine	nucleoside	L0	3213	391	12.17
cpd00221	D-Lactate	organic acid	L0	3213	542	16.87
cpd00159	L-Lactate	organic acid	L0	3213	1086	33.80
cpd00105	D-Ribose	sugar	L0	3213	535	16.65
cpd00053	L-Glutamine	amino acid	L0	3213	311	9.68
cpd01217	Xanthosine	nucleoside	L0	3213	294	9.15
cpd00118	Putrescine	other	L0	3213	396	12.32
cpd00108	Galactose	sugar	L0	3213	234	7.28
cpd00036	Succinate	organic acid	L0	3213	490	15.25
cpd00033	Glycine	amino acid	L0	3213	340	10.58
cpd00084	L-Cysteine	amino acid	L0	3213	8	0.25
cpd00116	Methanol	alcohol/diol	L0	3213	405	12.61
cpd00023	L-Glutamate	amino acid	L0	3213	90	2.80
cpd00139	Glycolate	organic acid	L0	3213	45	1.40
cpd00019	S-Adenosyl-homocysteine	amino acid	L0	3213	9	0.28
cpd00039	L-Lysine	amino acid	L0	3213	41	1.28
cpd00311	Guanosine	nucleoside	L0	3213	207	6.44
cpd00029	Acetate	organic acid	L0	3213	248	7.72
cpd00309	XAN	other	L0	3213	95	2.96
cpd00117	D-Alanine	amino acid	L0	3213	23	0.72
cpd00453	1,2-Propanediol	alcohol/diol	L0	3213	87	2.71
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L0	3213	98	3.05
cpd00047	Formate	organic acid	L0	3213	156	4.86
cpd00141	Propionate	organic acid	L0	3213	188	5.85
cpd00324	MTTL	other	L0	3213	249	7.75
cpd00129	L-Proline	amino acid	L0	3213	73	2.27
cpd00137	Citrate	organic acid	L0	3213	3	0.09
cpd00024	2-Oxoglutarate	organic acid	L0	3213	57	1.77
cpd00092	Uracil	other	L0	3213	7	0.22
cpd00054	L-Serine	amino acid	L0	3213	5	0.16
cpd00100	Glycerol	alcohol/diol	L0	3213	2	0.06
cpd00371	Propanal	other	L0	3213	3	0.09
cpd00122	N-Acetyl-D-glucosamine	other	L0	3213	1	0.03
cpd00106	Fumarate	organic acid	L0	3213	93	2.89
cpd00263	Pyridoxol	other	L0	3213	1	0.03
cpd00065	L-Tryptophan	amino acid	L0	3213	17	0.53
cpd00359	indol	other	L0	3213	21	0.65
cpd00281	GABA	other	L0	3213	12	0.37
cpd00064	Ornithine	other	L0	3213	6	0.19
cpd00588	Sorbitol	alcohol/diol	L0	3213	3	0.09
cpd00306	Xylitol	other	L0	3213	7	0.22
cpd00035	L-Alanine	amino acid	L0	3213	8	0.25
cpd00017	S-Adenosyl-L-methionine	amino acid	L0	3213	23	0.72
cpd00082	D-Fructose	sugar	L0	3213	1	0.03
cpd00307	Cytosine	other	L0	3213	6	0.19
cpd00020	Pyruvate	organic acid	L1	3851	1664	43.21
cpd00363	Ethanol	alcohol/diol	L1	3851	2608	67.72
cpd00130	L-Malate	organic acid	L1	3851	1389	36.07
cpd00246	Inosine	nucleoside	L1	3851	1505	39.08
cpd00053	L-Glutamine	amino acid	L1	3851	469	12.18
cpd00105	D-Ribose	sugar	L1	3851	920	23.89
cpd00159	L-Lactate	organic acid	L1	3851	967	25.11
cpd00367	Cytidine	nucleoside	L1	3851	404	10.49
cpd00036	Succinate	organic acid	L1	3851	605	15.71
cpd00221	D-Lactate	organic acid	L1	3851	529	13.74
cpd00118	Putrescine	other	L1	3851	576	14.96
cpd00116	Methanol	alcohol/diol	L1	3851	571	14.83
cpd00108	Galactose	sugar	L1	3851	210	5.45
cpd01217	Xanthosine	nucleoside	L1	3851	254	6.60
cpd00084	L-Cysteine	amino acid	L1	3851	6	0.16
cpd00023	L-Glutamate	amino acid	L1	3851	91	2.36
cpd00139	Glycolate	organic acid	L1	3851	34	0.88
cpd00019	S-Adenosyl-homocysteine	amino acid	L1	3851	9	0.23
cpd00039	L-Lysine	amino acid	L1	3851	28	0.73
cpd00311	Guanosine	nucleoside	L1	3851	169	4.39
cpd00033	Glycine	amino acid	L1	3851	433	11.24
cpd00029	Acetate	organic acid	L1	3851	293	7.61
cpd00054	L-Serine	amino acid	L1	3851	4	0.10
cpd00309	XAN	other	L1	3851	98	2.54
cpd00024	2-Oxoglutarate	organic acid	L1	3851	45	1.17
cpd00092	Uracil	other	L1	3851	28	0.73
cpd00117	D-Alanine	amino acid	L1	3851	14	0.36
cpd00453	1,2-Propanediol	alcohol/diol	L1	3851	117	3.04
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L1	3851	156	4.05
cpd00047	Formate	organic acid	L1	3851	217	5.63
cpd00141	Propionate	organic acid	L1	3851	213	5.53
cpd00324	MTTL	other	L1	3851	311	8.08
cpd00137	Citrate	organic acid	L1	3851	2	0.05
cpd00129	L-Proline	amino acid	L1	3851	56	1.45
cpd00220	Riboflavin	other	L1	3851	1	0.03
cpd00041	L-Aspartate	amino acid	L1	3851	4	0.10
cpd00100	Glycerol	alcohol/diol	L1	3851	2	0.05
cpd00371	Propanal	other	L1	3851	13	0.34
cpd00122	N-Acetyl-D-glucosamine	other	L1	3851	1	0.03
cpd00263	Pyridoxol	other	L1	3851	1	0.03
cpd00065	L-Tryptophan	amino acid	L1	3851	13	0.34
cpd00359	indol	other	L1	3851	28	0.73
cpd00182	Adenosine	nucleoside	L1	3851	2	0.05
cpd00306	Xylitol	other	L1	3851	22	0.57
cpd00017	S-Adenosyl-L-methionine	amino acid	L1	3851	20	0.52
cpd00281	GABA	other	L1	3851	20	0.52
cpd00106	Fumarate	organic acid	L1	3851	94	2.44
cpd00035	L-Alanine	amino acid	L1	3851	10	0.26
cpd00588	Sorbitol	alcohol/diol	L1	3851	61	1.58
cpd00222	GLCN	other	L1	3851	12	0.31
cpd00064	Ornithine	other	L1	3851	7	0.18
cpd00218	Niacin	other	L1	3851	1	0.03
cpd00154	Xylose	sugar	L1	3851	1	0.03
cpd00307	Cytosine	other	L1	3851	10	0.26
cpd00020	Pyruvate	organic acid	L2	3851	1664	43.21
cpd00363	Ethanol	alcohol/diol	L2	3851	2608	67.72
cpd00130	L-Malate	organic acid	L2	3851	1389	36.07
cpd00246	Inosine	nucleoside	L2	3851	1505	39.08
cpd00053	L-Glutamine	amino acid	L2	3851	469	12.18
cpd00105	D-Ribose	sugar	L2	3851	920	23.89
cpd00159	L-Lactate	organic acid	L2	3851	967	25.11
cpd00367	Cytidine	nucleoside	L2	3851	404	10.49
cpd00036	Succinate	organic acid	L2	3851	605	15.71
cpd00221	D-Lactate	organic acid	L2	3851	529	13.74
cpd00118	Putrescine	other	L2	3851	576	14.96
cpd00116	Methanol	alcohol/diol	L2	3851	571	14.83
cpd00108	Galactose	sugar	L2	3851	210	5.45
cpd01217	Xanthosine	nucleoside	L2	3851	254	6.60
cpd00084	L-Cysteine	amino acid	L2	3851	6	0.16
cpd00023	L-Glutamate	amino acid	L2	3851	91	2.36
cpd00139	Glycolate	organic acid	L2	3851	34	0.88
cpd00019	S-Adenosyl-homocysteine	amino acid	L2	3851	9	0.23
cpd00039	L-Lysine	amino acid	L2	3851	28	0.73
cpd00311	Guanosine	nucleoside	L2	3851	169	4.39
cpd00033	Glycine	amino acid	L2	3851	433	11.24
cpd00029	Acetate	organic acid	L2	3851	293	7.61
cpd00054	L-Serine	amino acid	L2	3851	4	0.10
cpd00309	XAN	other	L2	3851	98	2.54
cpd00024	2-Oxoglutarate	organic acid	L2	3851	45	1.17
cpd00092	Uracil	other	L2	3851	28	0.73
cpd00117	D-Alanine	amino acid	L2	3851	14	0.36
cpd00453	1,2-Propanediol	alcohol/diol	L2	3851	117	3.04
cpd01861	(R)-1,2-Propanediol	alcohol/diol	L2	3851	156	4.05
cpd00047	Formate	organic acid	L2	3851	217	5.63
cpd00141	Propionate	organic acid	L2	3851	213	5.53
cpd00324	MTTL	other	L2	3851	311	8.08
cpd00137	Citrate	organic acid	L2	3851	2	0.05
cpd00129	L-Proline	amino acid	L2	3851	56	1.45
cpd00220	Riboflavin	other	L2	3851	1	0.03
cpd00041	L-Aspartate	amino acid	L2	3851	4	0.10
cpd00100	Glycerol	alcohol/diol	L2	3851	2	0.05
cpd00371	Propanal	other	L2	3851	13	0.34
cpd00122	N-Acetyl-D-glucosamine	other	L2	3851	1	0.03
cpd00263	Pyridoxol	other	L2	3851	1	0.03
cpd00065	L-Tryptophan	amino acid	L2	3851	13	0.34
cpd00359	indol	other	L2	3851	28	0.73
cpd00182	Adenosine	nucleoside	L2	3851	2	0.05
cpd00306	Xylitol	other	L2	3851	22	0.57
cpd00017	S-Adenosyl-L-methionine	amino acid	L2	3851	20	0.52
cpd00281	GABA	other	L2	3851	20	0.52
cpd00106	Fumarate	organic acid	L2	3851	94	2.44
cpd00035	L-Alanine	amino acid	L2	3851	10	0.26
cpd00588	Sorbitol	alcohol/diol	L2	3851	61	1.58
cpd00222	GLCN	other	L2	3851	12	0.31
cpd00064	Ornithine	other	L2	3851	7	0.18
cpd00218	Niacin	other	L2	3851	1	0.03
cpd00154	Xylose	sugar	L2	3851	1	0.03
cpd00307	Cytosine	other	L2	3851	10	0.26
cpd00159	L-Lactate	organic acid	L3	5078	1194	23.51
cpd00363	Ethanol	alcohol/diol	L3	5078	3399	66.94
cpd00130	L-Malate	organic acid	L3	5078	1909	37.59
cpd00246	Inosine	nucleoside	L3	5078	2130	41.95
cpd00053	L-Glutamine	amino acid	L3	5078	631	12.43
cpd00020	Pyruvate	organic acid	L3	5078	2113	41.61
cpd00116	Methanol	alcohol/diol	L3	5078	727	14.32
cpd00105	D-Ribose	sugar	L3	5078	1371	27.00
cpd00367	Cytidine	nucleoside	L3	5078	499	9.83
cpd00221	D-Lactate	organic acid	L3	5078	735	14.47
cpd00118	Putrescine	other	L3	5078	754	14.85
cpd00036	Succinate	organic acid	L3	5078	829	16.33
cpd01217	Xanthosine	nucleoside	L3	5078	329	6.48
cpd00084	L-Cysteine	amino acid	L3	5078	12	0.24
cpd00139	Glycolate	organic acid	L3	5078	40	0.79
cpd00019	S-Adenosyl-homocysteine	amino acid	L3	5078	15	0.30
cpd00023	L-Glutamate	amino acid	L3	5078	115	2.26
cpd00039	L-Lysine	amino acid	L3	5078	29	0.57
cpd00311	Guanosine	nucleoside	L3	5078	217	4.27
cpd00033	Glycine	amino acid	L3	5078	644	12.68
cpd00029	Acetate	organic acid	L3	5078	331	6.52
