strain	phylum	mean_mut	mean_n
akk_GCF_000020225.1	Bacillota	5.724	1207.1
akk_GCF_000020225.1	Bacteroidota	4.616	301.7
akk_GCF_000020225.1	Pseudomonadota	1.279	273.5
akk_GCF_000020225.1	Actinomycetota	1.586	431.4
akk_GCF_000020225.1	Desulfobacterota_I	4.405	20.4
akk_GCF_000020225.1	Cyanobacteriota	0.000	37.6
akk_GCF_000020225.1	Verrucomicrobiota	4.048	31.9
akk_GCF_000020225.1	Elusimicrobiota	0.000	3.7
akk_GCF_000020225.1	Spirochaetota	5.000	9.8
akk_GCF_000020225.1	Campylobacterota	0.000	38.0
akk_GCF_000020225.1	Methanobacteriota	94.286	6.4
akk_GCF_000020225.1	Fusobacteriota	11.985	25.5
akk_GCF_000020225.1	Unknown	19.175	8.7
akk_GCF_000020225.1	Synergistota	0.000	5.9
akk_GCF_018847015.1	Bacillota	12.333	1207.1
akk_GCF_018847015.1	Bacteroidota	6.980	301.7
akk_GCF_018847015.1	Pseudomonadota	4.005	273.5
akk_GCF_018847015.1	Actinomycetota	7.985	431.4
akk_GCF_018847015.1	Desulfobacterota_I	4.405	20.4
akk_GCF_018847015.1	Cyanobacteriota	2.272	37.6
akk_GCF_018847015.1	Verrucomicrobiota	15.619	31.9
akk_GCF_018847015.1	Elusimicrobiota	0.000	3.7
akk_GCF_018847015.1	Spirochaetota	17.857	9.8
akk_GCF_018847015.1	Campylobacterota	0.000	38.0
akk_GCF_018847015.1	Methanobacteriota	94.286	6.4
akk_GCF_018847015.1	Fusobacteriota	35.204	25.5
akk_GCF_018847015.1	Unknown	28.048	8.7
akk_GCF_018847015.1	Synergistota	0.000	5.9
akk_GCF_018847135.1	Bacillota	17.266	1207.1
akk_GCF_018847135.1	Bacteroidota	8.955	301.7
akk_GCF_018847135.1	Pseudomonadota	5.765	273.5
akk_GCF_018847135.1	Actinomycetota	5.843	431.4
akk_GCF_018847135.1	Desulfobacterota_I	13.238	20.4
akk_GCF_018847135.1	Cyanobacteriota	12.712	37.6
akk_GCF_018847135.1	Verrucomicrobiota	11.238	31.9
akk_GCF_018847135.1	Elusimicrobiota	0.000	3.7
akk_GCF_018847135.1	Spirochaetota	43.961	9.8
akk_GCF_018847135.1	Campylobacterota	0.263	38.0
akk_GCF_018847135.1	Methanobacteriota	95.714	6.4
akk_GCF_018847135.1	Fusobacteriota	15.523	25.5
akk_GCF_018847135.1	Unknown	22.175	8.7
akk_GCF_018847135.1	Synergistota	8.667	5.9
akk_GCF_018847155.1	Bacillota	6.014	1207.1
akk_GCF_018847155.1	Bacteroidota	4.558	301.7
akk_GCF_018847155.1	Pseudomonadota	1.430	273.5
akk_GCF_018847155.1	Actinomycetota	1.991	431.4
akk_GCF_018847155.1	Desulfobacterota_I	4.905	20.4
akk_GCF_018847155.1	Cyanobacteriota	0.000	37.6
akk_GCF_018847155.1	Verrucomicrobiota	3.810	31.9
akk_GCF_018847155.1	Elusimicrobiota	0.000	3.7
akk_GCF_018847155.1	Spirochaetota	5.000	9.8
akk_GCF_018847155.1	Campylobacterota	0.000	38.0
akk_GCF_018847155.1	Methanobacteriota	94.286	6.4
akk_GCF_018847155.1	Fusobacteriota	11.985	25.5
akk_GCF_018847155.1	Unknown	19.175	8.7
akk_GCF_018847155.1	Synergistota	0.000	5.9
akk_GCF_023516715.1	Bacillota	14.867	1207.1
akk_GCF_023516715.1	Bacteroidota	8.495	301.7
akk_GCF_023516715.1	Pseudomonadota	4.436	273.5
akk_GCF_023516715.1	Actinomycetota	4.890	431.4
akk_GCF_023516715.1	Desulfobacterota_I	11.238	20.4
akk_GCF_023516715.1	Cyanobacteriota	3.963	37.6
akk_GCF_023516715.1	Verrucomicrobiota	11.238	31.9
akk_GCF_023516715.1	Elusimicrobiota	0.000	3.7
akk_GCF_023516715.1	Spirochaetota	43.961	9.8
akk_GCF_023516715.1	Campylobacterota	0.000	38.0
akk_GCF_023516715.1	Methanobacteriota	94.286	6.4
akk_GCF_023516715.1	Fusobacteriota	14.369	25.5
akk_GCF_023516715.1	Unknown	21.175	8.7
akk_GCF_023516715.1	Synergistota	8.667	5.9
akk_GCF_026072915.1	Bacillota	13.646	1207.1
akk_GCF_026072915.1	Bacteroidota	8.735	301.7
akk_GCF_026072915.1	Pseudomonadota	4.332	273.5
akk_GCF_026072915.1	Actinomycetota	3.908	431.4
akk_GCF_026072915.1	Desulfobacterota_I	6.881	20.4
akk_GCF_026072915.1	Cyanobacteriota	2.514	37.6
akk_GCF_026072915.1	Verrucomicrobiota	9.714	31.9
akk_GCF_026072915.1	Elusimicrobiota	0.000	3.7
akk_GCF_026072915.1	Spirochaetota	21.623	9.8
akk_GCF_026072915.1	Campylobacterota	0.263	38.0
akk_GCF_026072915.1	Methanobacteriota	95.714	6.4
akk_GCF_026072915.1	Fusobacteriota	12.769	25.5
akk_GCF_026072915.1	Unknown	19.175	8.7
akk_GCF_026072915.1	Synergistota	0.000	5.9
