strain	phylum	mean_mut	mean_n
L_acidophilus_NCFM_GCF_000011985.1	Bacillota	29.860	1207.1
L_acidophilus_NCFM_GCF_000011985.1	Bacteroidota	29.561	301.7
L_acidophilus_NCFM_GCF_000011985.1	Pseudomonadota	24.920	273.5
L_acidophilus_NCFM_GCF_000011985.1	Actinomycetota	10.386	431.4
L_acidophilus_NCFM_GCF_000011985.1	Desulfobacterota_I	98.095	20.4
L_acidophilus_NCFM_GCF_000011985.1	Cyanobacteriota	50.662	37.6
L_acidophilus_NCFM_GCF_000011985.1	Verrucomicrobiota	44.048	31.9
L_acidophilus_NCFM_GCF_000011985.1	Elusimicrobiota	0.000	3.7
L_acidophilus_NCFM_GCF_000011985.1	Spirochaetota	42.338	9.8
L_acidophilus_NCFM_GCF_000011985.1	Campylobacterota	73.684	38.0
L_acidophilus_NCFM_GCF_000011985.1	Methanobacteriota	100.000	6.4
L_acidophilus_NCFM_GCF_000011985.1	Fusobacteriota	24.232	25.5
L_acidophilus_NCFM_GCF_000011985.1	Unknown	23.635	8.7
L_acidophilus_NCFM_GCF_000011985.1	Synergistota	73.000	5.9
L_casei_ATCC393_GCF_000829055.1	Bacillota	9.725	1207.1
L_casei_ATCC393_GCF_000829055.1	Bacteroidota	5.386	301.7
L_casei_ATCC393_GCF_000829055.1	Pseudomonadota	3.286	273.5
L_casei_ATCC393_GCF_000829055.1	Actinomycetota	3.436	431.4
L_casei_ATCC393_GCF_000829055.1	Desulfobacterota_I	26.690	20.4
L_casei_ATCC393_GCF_000829055.1	Cyanobacteriota	7.202	37.6
L_casei_ATCC393_GCF_000829055.1	Verrucomicrobiota	15.000	31.9
L_casei_ATCC393_GCF_000829055.1	Elusimicrobiota	0.000	3.7
L_casei_ATCC393_GCF_000829055.1	Spirochaetota	16.623	9.8
L_casei_ATCC393_GCF_000829055.1	Campylobacterota	12.105	38.0
L_casei_ATCC393_GCF_000829055.1	Methanobacteriota	100.000	6.4
L_casei_ATCC393_GCF_000829055.1	Fusobacteriota	5.431	25.5
L_casei_ATCC393_GCF_000829055.1	Unknown	12.730	8.7
L_casei_ATCC393_GCF_000829055.1	Synergistota	16.667	5.9
L_crispatus_M247_GCF_026740115.1	Bacillota	29.449	1207.1
L_crispatus_M247_GCF_026740115.1	Bacteroidota	28.948	301.7
