strain	growth	category	uptake_flux
L_acidophilus_NCFM	0.416785	Amino acids	15.112
L_acidophilus_NCFM	0.416785	Other carbon	3.666
L_acidophilus_NCFM	0.416785	Mucin amino sugars	7.0
L_casei_ATCC393	0.786227	Amino acids	21.836
L_casei_ATCC393	0.786227	Other carbon	3.707
L_casei_ATCC393	0.786227	Mucin amino sugars	9.0
L_crispatus_M247	0.387843	Amino acids	13.242
L_crispatus_M247	0.387843	Other carbon	3.494
L_crispatus_M247	0.387843	Mucin amino sugars	7.0
L_crispatus_ST1	0.386705	Amino acids	13.225
L_crispatus_ST1	0.386705	Other carbon	3.491
L_crispatus_ST1	0.386705	Mucin amino sugars	7.0
L_delbrueckii_ATCC_BAA365	0.144051	Amino acids	8.659
L_delbrueckii_ATCC_BAA365	0.144051	Other carbon	3.373
L_delbrueckii_ATCC_BAA365	0.144051	Mucin amino sugars	2.0
L_gasseri_ATCC33323	0.387059	Amino acids	13.242
L_gasseri_ATCC33323	0.387059	Other carbon	3.493
L_gasseri_ATCC33323	0.387059	Mucin amino sugars	7.0
L_paracasei_ATCC334	0.741472	Amino acids	21.731
L_paracasei_ATCC334	0.741472	Other carbon	4.695
L_paracasei_ATCC334	0.741472	Mucin amino sugars	7.0
L_plantarum_WCFS1	0.727848	Amino acids	21.836
L_plantarum_WCFS1	0.727848	Other carbon	6.198
L_plantarum_WCFS1	0.727848	Mucin amino sugars	9.0
L_reuteri_DSM20016	0.257461	Amino acids	17.505
L_reuteri_DSM20016	0.257461	Other carbon	6.296
L_reuteri_DSM20016	0.257461	Mucin amino sugars	2.0
L_rhamnosus_GG	0.804195	Amino acids	21.878
L_rhamnosus_GG	0.804195	Other carbon	4.712
L_rhamnosus_GG	0.804195	Mucin amino sugars	9.0
