system	level	full_pct	full_n	strict_pct	strict_n
Akkermansia	L0	8.78	9576	8.09	9246
Akkermansia	L1	8.29	11646	7.37	10950
Akkermansia	L2	8.29	11646	7.37	10950
Akkermansia	L3	10.08	14544	9.29	13632
Akkermansia	L4	10.52	15852	9.75	14844
Akkermansia	L5	10.80	15912	10.02	14904
Akkermansia	L6	7.07	16254	6.37	15198
Akkermansia	L7	7.72	16272	6.96	15210
Akkermansia	L8	7.79	16272	7.03	15210
Akkermansia	L9	7.89	16272	7.12	15210
Lactobacillus	L0	20.13	15960	19.71	15410
Lactobacillus	L1	19.84	19410	18.77	18250
Lactobacillus	L2	19.84	19410	18.77	18250
Lactobacillus	L3	20.95	24240	19.79	22720
Lactobacillus	L4	21.36	26420	20.15	24740
Lactobacillus	L5	21.69	26520	20.49	24840
Lactobacillus	L6	16.63	27090	16.12	25330
Lactobacillus	L7	17.14	27120	16.64	25350
Lactobacillus	L8	17.13	27120	16.62	25350
Lactobacillus	L9	16.86	27120	16.32	25350
