species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
akk_GCF_023516715.1	MGYG000004884	competition	0.1976	-0.217662	-0.217667	5	7	0.6666666666666666	2.2
akk_GCF_000020225.1	MGYG000000137	competition	0.0618	-0.253631	-0.253626	7	8	0.7083333333333334	2.3
akk_GCF_018847015.1	MGYG000000180	mutualism	0.0249	0.017196	0.017193	3	5	0.7307692307692307	2.1
akk_GCF_018847015.1	MGYG000003735	competition	0.0043	-0.136824	-0.136895	9	5	0.6415094339622641	1.4
akk_GCF_000020225.1	MGYG000001911	competition	0.0122	-0.247309	-0.247319	6	5	0.75	1.4
akk_GCF_023516715.1	MGYG000003849	mutualism	0.0138	0.116537	0.116529	6	6	0.6206896551724138	1.1
akk_GCF_018847135.1	MGYG000003669	mutualism	0.0087	0.128632	0.128600	4	11	0.6349206349206349	1.6
akk_GCF_018847135.1	MGYG000001836	mutualism	0.0187	0.249681	0.249679	6	5	0.6206896551724138	1.1
akk_GCF_018847155.1	MGYG000003810	competition	0.0369	-0.062229	-0.062234	6	10	0.6530612244897959	2.3
akk_GCF_018847135.1	MGYG000001149	mutualism	0.0102	0.277403	0.277394	7	11	0.6206896551724138	1.2
akk_GCF_026072915.1	MGYG000001729	mutualism	0.0178	0.031942	0.031938	7	7	0.7346938775510204	2.2
akk_GCF_023516715.1	MGYG000001984	mutualism	0.0576	0.132114	0.132115	6	8	0.6909090909090909	1.2
akk_GCF_026072915.1	MGYG000004797	competition	0.0092	-0.416766	-0.416761	7	5	0.7272727272727273	1.8
akk_GCF_000020225.1	MGYG000000822	competition	0.0303	-0.200143	-0.200147	7	10	0.6037735849056604	1.6
akk_GCF_018847155.1	MGYG000004790	mutualism	0.0053	0.030215	0.030189	3	7	0.6792452830188679	1.2
akk_GCF_018847015.1	MGYG000001741	competition	0.0944	-0.124701	-0.124692	3	7	0.6153846153846154	1.2
akk_GCF_018847015.1	MGYG000003257	mutualism	0.0323	0.023365	0.023369	4	11	0.5970149253731343	1.0
akk_GCF_026072915.1	MGYG000004744	competition	0.1622	-0.197549	-0.197545	2	7	0.6415094339622641	1.4
akk_GCF_023516715.1	MGYG000001640	competition	0.0910	-0.161348	-0.161351	3	1	0.7111111111111111	1.4
akk_GCF_026072915.1	MGYG000003169	mutualism	0.0090	0.157652	0.157618	6	9	0.5964912280701754	1.2
akk_GCF_018847135.1	MGYG000000640	mutualism	0.0306	0.016697	0.016696	7	7	0.6545454545454545	1.1
akk_GCF_018847135.1	MGYG000003891	mutualism	0.0150	0.136627	0.136456	5	8	0.6792452830188679	1.3
akk_GCF_018847155.1	MGYG000004322	competition	0.0218	-0.046528	-0.046594	5	12	0.6229508196721312	0.9
akk_GCF_000020225.1	MGYG000003931	competition	0.0219	-0.002024	-0.002030	4	5	0.7083333333333334	1.2
akk_GCF_018847135.1	MGYG000000099	mutualism	0.0294	0.052542	0.052544	7	5	0.6808510638297872	1.7
akk_GCF_018847155.1	MGYG000001030	competition	0.0241	-0.178672	-0.178694	3	12	0.6206896551724138	1.5
akk_GCF_023516715.1	MGYG000002568	competition	0.0691	-0.236593	-0.236587	8	5	0.7441860465116279	1.6
akk_GCF_026072915.1	MGYG000000141	competition	0.0593	-0.232958	-0.232951	8	8	0.6938775510204082	1.6
akk_GCF_023516715.1	MGYG000002676	competition	0.0870	-0.082203	-0.082203	4	4	0.72	1.2
akk_GCF_018847135.1	MGYG000003820	competition	0.0598	-0.228620	-0.228623	4	10	0.5714285714285714	1.4
akk_GCF_018847155.1	MGYG000001285	competition	0.0877	-0.253091	-0.253095	4	10	0.6538461538461539	1.4
akk_GCF_018847135.1	MGYG000004256	mutualism	0.0674	0.146628	0.146629	3	9	0.5714285714285714	1.2
akk_GCF_018847015.1	MGYG000004779	mutualism	0.0196	0.044490	0.044497	6	7	0.7450980392156863	1.4
akk_GCF_000020225.1	MGYG000001777	competition	0.0646	-0.084211	-0.084213	5	6	0.6666666666666666	1.6
akk_GCF_018847155.1	MGYG000002031	mutualism	0.0436	0.048188	0.048186	3	8	0.6785714285714286	1.2
akk_GCF_000020225.1	MGYG000001977	competition	0.0155	-0.355568	-0.355562	8	6	0.7111111111111111	1.7
akk_GCF_023516715.1	MGYG000001132	mutualism	0.0368	0.038709	0.038703	5	6	0.72	1.3
akk_GCF_023516715.1	MGYG000000304	mutualism	0.0223	0.070864	0.070836	8	6	0.6521739130434783	1.4
akk_GCF_018847155.1	MGYG000002922	competition	0.0479	-0.147810	-0.147812	4	10	0.631578947368421	1.3
akk_GCF_018847135.1	MGYG000004067	mutualism	0.0087	0.054257	0.054250	10	9	0.6666666666666666	1.2
akk_GCF_023516715.1	MGYG000003052	competition	0.0352	-0.132009	-0.132004	4	6	0.64	1.4
akk_GCF_023516715.1	MGYG000004697	mutualism	0.0379	0.005847	0.005846	5	6	0.6666666666666666	1.6
akk_GCF_026072915.1	MGYG000001361	competition	0.0271	-0.057193	-0.057206	11	9	0.56	1.4
akk_GCF_000020225.1	MGYG000000065	competition	0.0307	-0.246738	-0.246733	8	6	0.6956521739130435	1.8
akk_GCF_018847135.1	MGYG000000316	mutualism	0.0020	0.088013	0.087873	4	10	0.5666666666666667	1.4
akk_GCF_023516715.1	MGYG000004313	competition	0.1245	-0.316609	-0.316605	3	4	0.7272727272727273	1.6
akk_GCF_018847155.1	MGYG000002038	mutualism	0.0461	0.088072	0.088069	3	13	0.5666666666666667	1.3
akk_GCF_026072915.1	MGYG000001287	mutualism	0.0443	0.100732	0.100712	6	12	0.6	1.1
akk_GCF_018847155.1	MGYG000000538	competition	0.0440	-0.154978	-0.154979	2	6	0.782608695652174	1.5
akk_GCF_000020225.1	MGYG000002164	mutualism	0.0125	0.149839	0.149823	7	5	0.25	1.0
akk_GCF_018847155.1	MGYG000000137	competition	0.0576	-0.252342	-0.252337	6	7	0.7083333333333334	0.8
akk_GCF_026072915.1	MGYG000002546	mutualism	0.0187	0.124660	0.124631	7	8	0.5925925925925926	1.5
akk_GCF_026072915.1	MGYG000001651	competition	0.0270	-0.019148	-0.019147	9	6	0.6666666666666666	1.4
akk_GCF_000020225.1	MGYG000004166	competition	0.0255	-0.149474	-0.149482	7	9	0.5964912280701754	1.4
akk_GCF_023516715.1	MGYG000001211	mutualism	0.0071	0.172116	0.172105	5	9	0.6229508196721312	1.1
akk_GCF_018847155.1	MGYG000001996	competition	0.0322	-0.223172	-0.223167	4	7	0.6530612244897959	1.4
akk_GCF_000020225.1	MGYG000001519	competition	0.0560	-0.083778	-0.083793	3	7	0.68	1.2
akk_GCF_023516715.1	MGYG000000108	competition	0.0342	-0.272841	-0.272833	7	7	0.6486486486486487	2.9
akk_GCF_018847155.1	MGYG000004633	competition	0.0533	-0.215351	-0.215347	6	3	0.7906976744186046	1.6
akk_GCF_018847015.1	MGYG000000666	mutualism	0.0212	0.043747	0.043758	6	5	0.6666666666666666	1.4
akk_GCF_000020225.1	MGYG000001604	competition	0.0215	-0.153950	-0.153963	6	7	0.6818181818181818	1.6
