species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
akk_GCF_018847015.1	MGYG000000901	competition	0.0060	-0.163718	-0.163713	7	5	0.6341463414634146	4.1
akk_GCF_018847155.1	MGYG000000194	competition	0.0661	-0.233679	-0.233673	6	6	0.6511627906976745	4.4
akk_GCF_026072915.1	MGYG000004569	competition	0.0404	-0.060660	-0.060671	4	11	0.5555555555555556	2.6
akk_GCF_000020225.1	MGYG000002531	competition	0.1530	-0.173084	-0.173081	6	6	0.6976744186046512	2.4
akk_GCF_000020225.1	MGYG000001723	competition	0.0098	-0.023463	-0.023469	8	11	0.5306122448979592	1.4
akk_GCF_018847135.1	MGYG000002257	mutualism	0.0411	0.188990	0.188987	6	6	0.6382978723404256	2.1
akk_GCF_000020225.1	MGYG000001553	competition	0.2365	-0.343078	-0.343073	3	8	0.6666666666666666	1.7
akk_GCF_018847015.1	MGYG000002124	competition	0.0634	-0.218178	-0.218174	7	10	0.6037735849056604	1.3
akk_GCF_018847015.1	MGYG000003643	mutualism	0.0196	0.014378	0.014360	6	7	0.5384615384615384	1.2
akk_GCF_000020225.1	MGYG000002138	mutualism	0.0068	0.016196	0.016125	8	8	0.5098039215686274	1.2
akk_GCF_018847015.1	MGYG000000475	mutualism	0.0583	0.066499	0.066465	6	8	0.5	1.4
akk_GCF_018847015.1	MGYG000001723	mutualism	0.0045	0.044861	0.044859	8	8	0.5098039215686274	0.6
akk_GCF_000020225.1	MGYG000002293	competition	0.0453	-0.243628	-0.243625	8	3	0.75	1.6
akk_GCF_026072915.1	MGYG000000462	competition	0.0300	-0.073759	-0.073853	4	11	0.5714285714285714	1.3
akk_GCF_018847015.1	MGYG000001902	competition	0.0360	-0.197914	-0.197907	6	7	0.5	1.3
akk_GCF_018847015.1	MGYG000003161	competition	0.0441	-0.195611	-0.195601	5	6	0.7272727272727273	1.4
akk_GCF_018847135.1	MGYG000004565	competition	0.0397	-0.125077	-0.125080	4	11	0.5	1.3
akk_GCF_018847135.1	MGYG000002263	mutualism	0.0176	0.188816	0.188807	5	5	0.6511627906976745	1.4
akk_GCF_023516715.1	MGYG000004049	mutualism	0.0706	0.018558	0.018559	6	5	0.6341463414634146	2.2
akk_GCF_026072915.1	MGYG000000304	mutualism	0.0143	0.122987	0.122958	7	7	0.6	1.4
akk_GCF_018847135.1	MGYG000004199	mutualism	0.0320	0.030548	0.030552	6	8	0.5454545454545454	1.0
akk_GCF_026072915.1	MGYG000002362	mutualism	0.0400	0.087370	0.087373	7	13	0.5098039215686274	1.8
akk_GCF_026072915.1	MGYG000003547	mutualism	0.0136	0.215519	0.215502	9	9	0.5833333333333334	1.3
akk_GCF_018847135.1	MGYG000003757	mutualism	0.0349	0.007246	0.007236	5	9	0.5357142857142857	1.2
akk_GCF_018847135.1	MGYG000003529	mutualism	0.0071	0.401906	0.401872	7	9	0.6538461538461539	1.3
akk_GCF_018847135.1	MGYG000004200	mutualism	0.0346	0.010266	0.010245	7	8	0.6037735849056604	1.3
akk_GCF_018847015.1	MGYG000001683	competition	0.0106	-0.094674	-0.094664	13	5	0.5957446808510638	1.7
akk_GCF_026072915.1	MGYG000003727	mutualism	0.0036	0.029718	0.029683	7	11	0.49056603773584906	1.3
akk_GCF_023516715.1	MGYG000000748	mutualism	0.0163	0.192970	0.192944	5	8	0.5769230769230769	1.3
akk_GCF_026072915.1	MGYG000003573	mutualism	0.0097	0.139215	0.139153	5	10	0.6	3.0
akk_GCF_000020225.1	MGYG000000277	competition	0.0415	-0.161071	-0.161074	5	4	0.6829268292682927	3.8
akk_GCF_026072915.1	MGYG000001100	competition	0.0199	-0.255604	-0.255603	4	12	0.5283018867924528	2.4
akk_GCF_018847155.1	MGYG000001037	mutualism	0.0587	0.074627	0.074628	7	9	0.6153846153846154	2.6
akk_GCF_000020225.1	MGYG000000900	mutualism	0.0050	0.126303	0.126283	7	9	0.5714285714285714	2.8
akk_GCF_000020225.1	MGYG000002691	competition	0.0830	-0.093756	-0.093759	5	6	0.6190476190476191	2.8
