species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_crispatus_M247_GCF_026740115.1	MGYG000000557	mutualism	0.0170	0.041307	0.041275	9	12	0.7	2.4
L_casei_ATCC393_GCF_000829055.1	MGYG000004258	competition	0.0500	-0.332174	-0.332180	5	8	0.6666666666666666	2.5
L_crispatus_ST1_GCF_000091765.1	MGYG000003747	competition	0.0124	-0.105862	-0.105856	4	9	0.7241379310344828	2.5
L_crispatus_ST1_GCF_000091765.1	MGYG000001749	mutualism	0.0597	0.100012	0.100019	4	6	0.8125	1.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004111	mutualism	0.0668	0.046189	0.046189	3	8	0.7761194029850746	2.4
L_crispatus_M247_GCF_026740115.1	MGYG000001701	competition	0.0267	-0.096498	-0.096497	8	12	0.6666666666666666	1.6
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000705	mutualism	0.0255	0.162683	0.162669	4	9	0.8125	1.2
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002966	competition	0.0634	-0.117366	-0.117354	5	8	0.7017543859649122	2.7
L_plantarum_WCFS1_GCF_000203855.3	MGYG000002056	mutualism	0.0783	0.035138	0.035132	7	5	0.7777777777777778	1.6
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003488	mutualism	0.0423	0.182522	0.182529	4	7	0.8787878787878788	1.4
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003496	mutualism	0.0247	0.651494	0.651474	6	6	0.8	1.9
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000003857	mutualism	0.0624	0.123026	0.123032	5	11	0.7941176470588235	2.1
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000002406	competition	0.0740	-0.179413	-0.179409	6	18	0.5454545454545454	1.9
L_crispatus_M247_GCF_026740115.1	MGYG000004498	mutualism	0.0168	0.147818	0.147785	6	6	0.8378378378378378	1.0
L_crispatus_ST1_GCF_000091765.1	MGYG000004616	mutualism	0.0283	0.308872	0.308855	6	6	0.7887323943661971	1.3
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003059	mutualism	0.0317	0.139754	0.139743	7	6	0.7333333333333333	1.4
