species_a	species_b	fm_type	fm_C	fm_benefit_a	fm_benefit_b	fm_xfeed	smetana_MIP	smetana_MRO	sec
L_acidophilus_NCFM_GCF_000011985.1	MGYG000003891	mutualism	0.0877	0.007050	0.006905	4	5	0.8615384615384616	2.1
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002371	mutualism	0.0201	0.546972	0.546977	5	5	0.8611111111111112	2.0
L_crispatus_M247_GCF_026740115.1	MGYG000004655	competition	0.0045	-0.104260	-0.104263	11	6	0.75	2.3
L_crispatus_ST1_GCF_000091765.1	MGYG000000129	mutualism	0.0239	0.481007	0.480996	5	8	0.6440677966101694	2.4
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002883	mutualism	0.0037	0.018837	0.018637	7	11	0.7619047619047619	1.3
L_casei_ATCC393_GCF_000829055.1	MGYG000004160	mutualism	0.0197	0.130059	0.130049	6	7	0.819672131147541	2.6
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000370	mutualism	0.0745	0.030200	0.030204	8	5	0.8055555555555556	2.3
L_crispatus_ST1_GCF_000091765.1	MGYG000002567	mutualism	0.0157	0.041645	0.041639	6	8	0.8285714285714286	1.2
L_reuteri_DSM20016_GCF_000016825.1	MGYG000000683	competition	0.0626	-0.040370	-0.040368	9	6	0.7941176470588235	2.4
L_crispatus_M247_GCF_026740115.1	MGYG000001057	mutualism	0.0404	0.241723	0.241720	7	6	0.7352941176470589	1.3
L_acidophilus_NCFM_GCF_000011985.1	MGYG000001604	mutualism	0.0136	0.078824	0.078815	7	9	0.6666666666666666	1.7
L_acidophilus_NCFM_GCF_000011985.1	MGYG000003699	competition	0.0862	-0.339575	-0.339569	8	6	0.7941176470588235	1.4
L_crispatus_ST1_GCF_000091765.1	MGYG000003275	mutualism	0.0250	0.374323	0.374226	5	9	0.7647058823529411	1.3
L_acidophilus_NCFM_GCF_000011985.1	MGYG000002016	mutualism	0.0308	0.498319	0.498301	4	8	0.7761194029850746	1.4
L_plantarum_WCFS1_GCF_000203855.3	MGYG000003739	competition	0.0624	-0.394720	-0.394725	3	8	0.6909090909090909	3.0
L_paracasei_ATCC334_GCF_000014525.1	MGYG000000056	competition	0.1119	-0.266905	-0.266913	6	8	0.7037037037037037	2.5
L_paracasei_ATCC334_GCF_000014525.1	MGYG000000205	competition	0.0752	-0.380046	-0.380048	7	10	0.6071428571428571	1.9
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004588	competition	0.0191	-0.115579	-0.115580	9	7	0.6909090909090909	1.6
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002860	competition	0.0387	-0.101948	-0.101936	9	5	0.75	1.3
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000003240	mutualism	0.0336	0.079651	0.079652	6	7	0.8115942028985508	1.3
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000002161	mutualism	0.1089	0.306896	0.306900	11	12	0.375	1.1
L_plantarum_WCFS1_GCF_000203855.3	MGYG000000358	competition	0.0244	-0.098322	-0.098326	5	10	0.7164179104477612	1.2
L_crispatus_ST1_GCF_000091765.1	MGYG000001552	mutualism	0.0293	0.079988	0.079987	5	7	0.8	1.5
L_crispatus_ST1_GCF_000091765.1	MGYG000000596	mutualism	0.0437	0.112667	0.112666	6	7	0.696969696969697	1.3
L_crispatus_ST1_GCF_000091765.1	MGYG000001894	mutualism	0.0324	0.006788	0.006782	5	6	0.8311688311688312	1.1
L_acidophilus_NCFM_GCF_000011985.1	MGYG000004317	competition	0.0241	-0.169464	-0.169465	7	8	0.7241379310344828	1.6
L_reuteri_DSM20016_GCF_000016825.1	MGYG000002377	mutualism	0.0441	0.059437	0.059451	8	3	0.8787878787878788	1.8
L_reuteri_DSM20016_GCF_000016825.1	MGYG000001797	competition	0.0434	-0.204678	-0.204664	7	6	0.6896551724137931	1.4
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000004691	competition	0.0568	-0.285727	-0.285725	3	10	0.7384615384615385	1.5
L_paracasei_ATCC334_GCF_000014525.1	MGYG000003203	mutualism	0.0086	0.080632	0.080611	7	11	0.6875	1.5
L_casei_ATCC393_GCF_000829055.1	MGYG000001090	mutualism	0.0239	0.088479	0.088452	10	9	0.7333333333333333	1.4
L_casei_ATCC393_GCF_000829055.1	MGYG000004644	mutualism	0.0357	0.011871	0.011858	6	8	0.6984126984126984	1.4
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	MGYG000004284	competition	0.0477	-0.342679	-0.342669	4	5	0.8181818181818182	1.2
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000591	mutualism	0.0430	0.278560	0.278556	6	13	0.6229508196721312	1.6
L_reuteri_DSM20016_GCF_000016825.1	MGYG000003753	competition	0.0580	-0.057083	-0.057073	4	3	0.8405797101449275	1.5
L_acidophilus_NCFM_GCF_000011985.1	MGYG000003750	mutualism	0.0344	0.043181	0.043187	6	5	0.8108108108108109	1.0
L_plantarum_WCFS1_GCF_000203855.3	MGYG000004234	competition	0.0370	-0.088161	-0.088159	6	6	0.711864406779661	1.7
L_crispatus_ST1_GCF_000091765.1	MGYG000001639	competition	0.0226	-0.108292	-0.108307	11	12	0.2857142857142857	1.6
L_crispatus_ST1_GCF_000091765.1	MGYG000003483	mutualism	0.0418	0.661927	0.661924	6	10	0.6774193548387096	1.2
