system	strain	L5_mut_pct	L6_mut_pct
akk	akk_GCF_000020225.1	5.20	4.36
akk	akk_GCF_018847015.1	11.80	7.31
akk	akk_GCF_018847135.1	15.99	9.86
akk	akk_GCF_018847155.1	5.58	4.50
akk	akk_GCF_023516715.1	13.73	8.75
akk	akk_GCF_026072915.1	12.48	7.64
lac	L_acidophilus_NCFM_GCF_000011985.1	31.00	22.52
lac	L_casei_ATCC393_GCF_000829055.1	8.14	6.94
lac	L_crispatus_M247_GCF_026740115.1	31.18	21.93
lac	L_crispatus_ST1_GCF_000091765.1	31.45	21.78
lac	L_delbrueckii_ATCC_BAA365_GCF_000014405.1	16.14	14.36
lac	L_gasseri_ATCC33323_GCF_000014425.1	33.60	22.67
lac	L_paracasei_ATCC334_GCF_000014525.1	8.63	7.12
lac	L_plantarum_WCFS1_GCF_000203855.3	24.92	18.90
lac	L_reuteri_DSM20016_GCF_000016825.1	22.10	22.52
lac	L_rhamnosus_GG_GCF_000026505.1	9.77	7.57
