system	level	viable	mu_alone_mean	mutualism_relative_pct	mutualism_absolute_pct	mean_abs_benefit
Akkermansia	L0	9576	0.6668	8.78	8.16	-0.1272
Akkermansia	L1	11646	0.7673	8.29	7.95	-0.1493
Akkermansia	L2	11646	0.7673	8.29	7.95	-0.1493
Akkermansia	L3	14544	0.8370	10.08	9.78	-0.1426
Akkermansia	L4	15852	0.8817	10.52	10.14	-0.1473
Akkermansia	L5	15912	0.8840	10.80	10.38	-0.1465
Akkermansia	L6	16254	1.1910	7.07	6.80	-0.2221
Akkermansia	L7	16272	1.2227	7.72	7.42	-0.2175
Akkermansia	L8	16272	1.2286	7.79	7.50	-0.2173
Akkermansia	L9	16272	1.3008	7.89	7.56	-0.2359
Lactobacillus	L0	15960	0.5710	20.13	19.58	-0.0994
Lactobacillus	L1	19410	0.7075	19.84	19.54	-0.1241
Lactobacillus	L2	19410	0.7075	19.84	19.54	-0.1241
Lactobacillus	L3	24240	0.8548	20.95	20.65	-0.1414
Lactobacillus	L4	26420	0.8857	21.36	21.08	-0.1395
Lactobacillus	L5	26520	0.8922	21.69	21.37	-0.1380
Lactobacillus	L6	27090	1.2697	16.63	16.34	-0.2372
Lactobacillus	L7	27120	1.3387	17.14	16.85	-0.2415
Lactobacillus	L8	27120	1.3446	17.13	16.85	-0.2412
Lactobacillus	L9	27120	1.4166	16.86	16.59	-0.2553
