species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000001	1.023845	2.543029	0.801107	1.989805	-0.217551	-0.217545	competition	0.9924	4	0.0533
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000002	1.023845	1.515032	0.933576	1.381462	-0.088166	-0.088163	competition	0.4804	6	0.0285
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000003	1.023845	0.767275	0.902666	0.676463	-0.118357	-0.118356	competition	0.6516	6	0.0030
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000004	1.023845	2.195674	0.874316	1.875016	-0.146046	-0.146041	competition	0.9344	6	0.0508
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000006	1.023845	2.570426	0.729043	1.830322	-0.287936	-0.287930	competition	0.8498	7	0.0640
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000007	1.023845	0.860330	0.602121	0.505963	-0.411902	-0.411897	competition	0.6673	6	0.2588
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000008	1.023845	1.077399	0.523499	0.550887	-0.488693	-0.488688	competition	NaN	0	0.7612
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000009	1.023845	1.848837	0.657391	1.187111	-0.357919	-0.357915	competition	0.9941	5	0.0737
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000010	1.023845	1.832462	0.674280	1.206823	-0.341424	-0.341420	competition	0.8532	8	0.1075
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000011	1.023845	2.555363	0.727441	1.815597	-0.289501	-0.289495	competition	0.7992	8	0.0497
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000012	1.023845	2.506176	0.719704	1.761711	-0.297058	-0.297052	competition	0.8308	5	0.0642
