sys_label	metabolite	cpd	n_pairs	n_mut	frac
Akkermansia × UHGG (gut)	Ethanol	cpd00363	7402	12580	0.5883942766295708
Akkermansia × UHGG (gut)	Methanol	cpd00116	6226	12580	0.494912559618442
Akkermansia × UHGG (gut)	Pyruvate	cpd00020	5467	12580	0.43457869634340224
Akkermansia × UHGG (gut)	MTTL	cpd00324	4281	12580	0.340302066772655
Akkermansia × UHGG (gut)	Putrescine	cpd00118	3869	12580	0.3075516693163752
Akkermansia × UHGG (gut)	Succinate	cpd00036	3768	12580	0.29952305246422894
Akkermansia × UHGG (gut)	(R)-1,2-Propanediol	cpd01861	3724	12580	0.29602543720190777
Akkermansia × UHGG (gut)	PAN	cpd00644	3354	12580	0.2666136724960254
Akkermansia × UHGG (gut)	Formate	cpd00047	3237	12580	0.2573131955484897
Akkermansia × UHGG (gut)	Propionate	cpd00141	3199	12580	0.25429252782193956
Akkermansia × UHGG (gut)	1,2-Propanediol	cpd00453	3151	12580	0.25047694753577104
Akkermansia × UHGG (gut)	Fumarate	cpd00106	3128	12580	0.24864864864864866
Akkermansia × UHGG (gut)	L-Malate	cpd00130	2954	12580	0.23481717011128775
Akkermansia × UHGG (gut)	D-Ribose	cpd00105	2926	12580	0.23259141494435612
Akkermansia × UHGG (gut)	indol	cpd00359	2518	12580	0.20015898251192368
Akkermansia × UHGG (gut)	L-Tryptophan	cpd00065	1914	12580	0.1521462639109698
Akkermansia × UHGG (gut)	D-Lactate	cpd00221	1902	12580	0.15119236883942766
Akkermansia × UHGG (gut)	Acetate	cpd00029	1806	12580	0.14356120826709062
Akkermansia × UHGG (gut)	2-Oxoglutarate	cpd00024	1395	12580	0.11089030206677265
Akkermansia × UHGG (gut)	Cytidine	cpd00367	1305	12580	0.10373608903020667
Akkermansia × UHGG (gut)	Sorbitol	cpd00588	852	12580	0.06772655007949126
Akkermansia × UHGG (gut)	L-Lactate	cpd00159	670	12580	0.05325914149443561
Akkermansia × UHGG (gut)	GABA	cpd00281	590	12580	0.04689984101748808
Akkermansia × UHGG (gut)	Ornithine	cpd00064	524	12580	0.04165341812400636
Akkermansia × UHGG (gut)	Xylitol	cpd00306	370	12580	0.029411764705882353
Akkermansia × UHGG (gut)	L-Proline	cpd00129	362	12580	0.0287758346581876
Akkermansia × UHGG (gut)	D-Fructose	cpd00082	352	12580	0.027980922098569158
Akkermansia × UHGG (gut)	N-Acetyl-D-glucosamine	cpd00122	299	12580	0.023767885532591414
Akkermansia × UHGG (gut)	L-Lysine	cpd00039	267	12580	0.0212241653418124
Akkermansia × UHGG (gut)	L-Phenylalanine	cpd00066	182	12580	0.014467408585055644
Akkermansia × UHGG (gut)	Glycerol	cpd00100	168	12580	0.013354531001589825
Akkermansia × UHGG (gut)	Folate	cpd00393	160	12580	0.012718600953895072
Akkermansia × UHGG (gut)	ocdca	cpd01080	160	12580	0.012718600953895072
Akkermansia × UHGG (gut)	L-Leucine	cpd00107	158	12580	0.012559618441971383
Akkermansia × UHGG (gut)	L-Isoleucine	cpd00322	156	12580	0.012400635930047695
Akkermansia × UHGG (gut)	Uracil	cpd00092	156	12580	0.012400635930047695
Akkermansia × UHGG (gut)	Heme	cpd00028	152	12580	0.012082670906200318
Akkermansia × UHGG (gut)	L-Histidine	cpd00119	141	12580	0.011208267090620032
