species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	0.974587	1.948525	0.772528	1.544554	-0.207328	-0.207321	competition	0.1722	5	0.0718
akk_GCF_000020225.1	MGYG000000002	0.974587	1.056646	0.680115	0.737383	-0.302151	-0.302148	competition	0.6896	6	0.0541
akk_GCF_000020225.1	MGYG000000003	0.974587	0.574893	0.671462	0.396079	-0.311030	-0.311039	competition	0.2057	7	0.0387
akk_GCF_000020225.1	MGYG000000004	0.974587	1.641083	0.850884	1.432792	-0.126929	-0.126923	competition	0.9424	5	0.0160
akk_GCF_000020225.1	MGYG000000006	0.974587	2.102088	0.694303	1.497556	-0.287593	-0.287586	competition	0.8470	4	0.1028
akk_GCF_000020225.1	MGYG000000007	0.974587	0.613106	0.864896	0.544095	-0.112551	-0.112559	competition	0.0007	6	0.0201
akk_GCF_000020225.1	MGYG000000008	0.974587	0.800637	0.900218	0.739539	-0.076308	-0.076312	competition	-0.0000	4	0.0199
akk_GCF_000020225.1	MGYG000000009	0.974587	1.457779	0.714555	1.068833	-0.266812	-0.266807	competition	0.0560	6	0.0952
akk_GCF_000020225.1	MGYG000000010	0.974587	1.478614	0.749532	1.137175	-0.230924	-0.230919	competition	0.8795	6	0.0166
akk_GCF_000020225.1	MGYG000000011	0.974587	2.085589	0.698085	1.493895	-0.283713	-0.283706	competition	0.8452	4	0.1026
akk_GCF_000020225.1	MGYG000000012	0.974587	1.980962	0.748617	1.521664	-0.231863	-0.231856	competition	0.9044	6	0.0617
akk_GCF_000020225.1	MGYG000000013	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	0.974587	2.261350	0.701745	1.628286	-0.279957	-0.279949	competition	0.9854	6	0.0599
akk_GCF_000020225.1	MGYG000000015	0.974587	2.463645	0.743203	1.878752	-0.237417	-0.237410	competition	0.9472	7	0.0471
akk_GCF_000020225.1	MGYG000000016	0.974587	0.794092	0.665798	0.542491	-0.316841	-0.316841	competition	0.1802	2	0.1422
akk_GCF_000020225.1	MGYG000000017	0.974587	1.497372	0.792899	1.218232	-0.186426	-0.186420	competition	0.7078	3	0.0433
akk_GCF_000020225.1	MGYG000000018	0.974587	0.759116	0.777791	0.605829	-0.201928	-0.201928	competition	0.0329	9	0.0164
akk_GCF_000020225.1	MGYG000000019	0.974587	2.215280	0.802001	1.822999	-0.177087	-0.177080	competition	0.9744	8	0.0275
akk_GCF_000020225.1	MGYG000000020	0.974587	0.860092	0.841668	0.742785	-0.136385	-0.136389	competition	0.5782	4	0.0240
akk_GCF_000020225.1	MGYG000000021	0.974587	0.557369	0.866304	0.495436	-0.111107	-0.111117	competition	0.0017	5	0.0135
akk_GCF_000020225.1	MGYG000000022	0.974587	1.217735	0.828957	1.035777	-0.149428	-0.149424	competition	0.7780	5	0.0245
akk_GCF_000020225.1	MGYG000000023	0.974587	1.398280	0.728460	1.045157	-0.252545	-0.252540	competition	0.0000	2	0.2788
akk_GCF_000020225.1	MGYG000000024	0.974587	2.463735	0.730132	1.845778	-0.250829	-0.250821	competition	0.6283	7	0.0409
akk_GCF_000020225.1	MGYG000000025	0.974587	1.976081	0.719934	1.459747	-0.261294	-0.261292	competition	0.7818	6	0.0262
akk_GCF_000020225.1	MGYG000000026	0.974587	1.219231	0.780904	0.976934	-0.198733	-0.198729	competition	0.2015	6	0.1189
akk_GCF_000020225.1	MGYG000000027	0.974587	1.745645	0.793216	1.420790	-0.186100	-0.186094	competition	0.3077	7	0.0771
akk_GCF_000020225.1	MGYG000000028	0.974587	1.531875	0.777356	1.221871	-0.202374	-0.202369	competition	0.8773	4	0.1915
akk_GCF_000020225.1	MGYG000000029	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000030	0.974587	0.955940	0.819242	0.803569	-0.159396	-0.159394	competition	0.8571	4	0.1392
akk_GCF_000020225.1	MGYG000000031	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000033	0.974587	0.715239	0.733237	0.538111	-0.247644	-0.247650	competition	0.0000	4	0.1599
akk_GCF_000020225.1	MGYG000000034	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000035	0.974587	2.425660	0.724495	1.803222	-0.256613	-0.256606	competition	0.9401	5	0.0384
akk_GCF_000020225.1	MGYG000000036	0.974587	0.354776	0.747378	0.272060	-0.233134	-0.233148	competition	0.0000	5	0.0496
akk_GCF_000020225.1	MGYG000000037	0.974587	1.743918	0.768024	1.374305	-0.211950	-0.211944	competition	-0.0000	4	0.0601
akk_GCF_000020225.1	MGYG000000038	0.974587	1.785348	0.711394	1.303208	-0.270056	-0.270054	competition	0.0712	4	0.1111
akk_GCF_000020225.1	MGYG000000039	0.974587	1.489427	0.793525	1.212724	-0.185784	-0.185778	competition	0.7683	5	0.0532
akk_GCF_000020225.1	MGYG000000040	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000041	0.974587	1.503559	0.811821	1.252457	-0.167010	-0.167005	competition	-0.0000	5	0.0360
akk_GCF_000020225.1	MGYG000000042	0.974587	1.347409	0.631115	0.872549	-0.352429	-0.352424	competition	-0.0000	3	0.3293
akk_GCF_000020225.1	MGYG000000043	0.974587	1.498559	0.654065	1.005721	-0.328880	-0.328875	competition	0.0082	4	0.2558
akk_GCF_000020225.1	MGYG000000044	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000045	0.974587	1.170814	0.757854	0.910447	-0.222385	-0.222381	competition	0.2385	6	0.1458
akk_GCF_000020225.1	MGYG000000046	0.974587	1.596916	0.747156	1.224267	-0.233361	-0.233356	competition	0.7239	8	0.0179
akk_GCF_000020225.1	MGYG000000047	0.974587	2.162652	0.832346	1.847027	-0.145951	-0.145943	competition	0.0217	6	0.0114
akk_GCF_000020225.1	MGYG000000048	0.974587	1.033008	0.733150	0.777100	-0.247733	-0.247730	competition	0.9092	3	0.0864
akk_GCF_000020225.1	MGYG000000049	0.974587	2.375413	0.745219	1.816380	-0.235349	-0.235341	competition	0.6543	6	0.0493
akk_GCF_000020225.1	MGYG000000050	0.974587	0.923390	0.714489	0.676957	-0.266881	-0.266879	competition	0.5619	7	0.0584
akk_GCF_000020225.1	MGYG000000051	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000052	0.974587	1.825624	0.784826	1.470170	-0.194709	-0.194703	competition	0.0429	10	0.0151
akk_GCF_000020225.1	MGYG000000053	0.974587	0.456035	0.736777	0.344751	-0.244011	-0.244024	competition	0.4501	7	0.0523
akk_GCF_000020225.1	MGYG000000054	0.974587	1.938552	0.695442	1.383307	-0.286425	-0.286423	competition	0.8752	7	0.0123
akk_GCF_000020225.1	MGYG000000055	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000056	0.974587	0.659504	0.644020	0.435807	-0.339187	-0.339189	competition	0.0135	4	0.0288
akk_GCF_000020225.1	MGYG000000057	0.974587	1.479779	0.661176	1.003914	-0.321583	-0.321578	competition	0.0482	4	0.1466
akk_GCF_000020225.1	MGYG000000058	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000059	0.974587	0.989840	0.662765	0.673140	-0.319953	-0.319950	competition	0.3960	8	0.0412
akk_GCF_000020225.1	MGYG000000060	0.974587	1.017559	0.764108	0.797802	-0.215967	-0.215965	competition	0.8046	5	0.1224
akk_GCF_000020225.1	MGYG000000061	0.974587	0.835474	0.838775	0.719048	-0.139353	-0.139353	competition	0.0000	4	0.0597
akk_GCF_000020225.1	MGYG000000062	0.974587	1.358830	0.831032	1.158683	-0.147299	-0.147294	competition	0.3462	6	0.0476
akk_GCF_000020225.1	MGYG000000063	0.974587	0.973396	0.864885	0.863830	-0.112563	-0.112560	competition	0.5402	8	0.0121
akk_GCF_000020225.1	MGYG000000064	0.974587	1.552036	0.739822	1.178179	-0.240887	-0.240882	competition	0.2034	4	0.2624
akk_GCF_000020225.1	MGYG000000065	0.974587	1.566602	0.778057	1.250697	-0.201655	-0.201650	competition	0.8362	9	0.0124
akk_GCF_000020225.1	MGYG000000067	0.974587	1.512936	0.759591	1.179187	-0.220603	-0.220597	competition	0.0000	5	0.0940
akk_GCF_000020225.1	MGYG000000068	0.974587	-0.000000	0.974587	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000069	0.974587	0.934441	0.812933	0.779448	-0.165869	-0.165867	competition	-0.0000	6	0.1132
akk_GCF_000020225.1	MGYG000000070	0.974587	1.034361	0.683353	0.725268	-0.298828	-0.298825	competition	0.7510	7	0.0429
