species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000001	0.575564	1.430185	0.481822	1.197267	-0.162870	-0.162858	competition	0.8382	5	0.0667
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000002	0.575564	0.595638	0.624167	0.645938	0.084444	0.084447	mutualism	0.4761	7	0.0379
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000003	0.575564	0.367930	0.545011	0.348403	-0.053085	-0.053073	competition	0.7918	5	0.0075
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000004	0.575564	1.364819	0.491384	1.165214	-0.146257	-0.146250	competition	0.4583	6	0.0313
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000006	0.575564	1.535986	0.414772	1.106905	-0.279364	-0.279352	competition	0.5588	6	0.0410
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000007	0.575564	0.339824	0.367676	0.217080	-0.361190	-0.361199	competition	1.0000	1	0.2740
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000008	0.575564	0.602946	0.315574	0.330586	-0.451714	-0.451716	competition	1.0000	1	0.2437
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000009	0.575564	1.110687	0.378252	0.729937	-0.342816	-0.342806	competition	0.9903	6	0.0629
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000010	0.575564	1.113927	0.379163	0.733829	-0.341233	-0.341223	competition	1.0000	4	0.1248
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000011	0.575564	1.510775	0.412832	1.083645	-0.282735	-0.282723	competition	0.4665	7	0.0494
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000012	0.575564	1.396463	0.403498	0.979004	-0.298952	-0.298940	competition	0.4730	6	0.0441
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000013	0.575564	-0.000000	0.575564	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000014	0.575564	1.654639	0.423565	1.217690	-0.264088	-0.264075	competition	1.0000	3	0.0757
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000015	0.575564	1.806528	0.430761	1.352057	-0.251585	-0.251572	competition	0.6770	7	0.0493
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000016	0.575564	0.449036	0.570254	0.444892	-0.009226	-0.009228	competition	0.8931	6	0.0324
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000017	0.575564	1.049984	0.411424	0.750554	-0.285181	-0.285176	competition	1.0000	4	0.0628
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000018	0.575564	-0.000000	0.575564	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000019	0.575564	1.535160	0.412072	1.099108	-0.284055	-0.284043	competition	0.4590	8	0.0544
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000020	0.575564	0.592999	0.353799	0.364519	-0.385301	-0.385297	competition	1.0000	3	0.5947
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000021	0.575564	0.287067	0.413380	0.206171	-0.281784	-0.281803	competition	0.8883	5	0.1643
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000022	0.575564	0.863259	0.445749	0.668559	-0.225544	-0.225541	competition	0.4308	5	0.0291
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000023	0.575564	1.001750	0.363778	0.633152	-0.367963	-0.367954	competition	0.1417	4	0.0743
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000024	0.575564	1.892487	0.439574	1.445371	-0.236272	-0.236259	competition	0.9819	6	0.0385
L_acidophilus_NCFM_GCF_000011985.1	MGYG000000025	0.575564	1.419960	0.410780	1.013435	-0.286300	-0.286293	competition	0.1365	6	0.0571
