species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000001	0.664954	1.779271	0.551991	1.477025	-0.169880	-0.169871	competition	0.9206	3	0.0767
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000002	0.664954	0.951684	0.684892	0.980225	0.029985	0.029990	mutualism	0.5441	8	0.0233
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000003	0.664954	0.464512	0.653957	0.456834	-0.016537	-0.016529	competition	0.7983	5	0.0087
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000004	0.664954	1.476149	0.623931	1.385095	-0.061692	-0.061684	competition	0.9098	7	0.0391
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000006	0.664954	1.970187	0.492984	1.460680	-0.258618	-0.258608	competition	0.7652	5	0.0607
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000007	0.664954	0.533994	0.416836	0.334749	-0.373136	-0.373123	competition	0.9842	3	0.4229
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000008	0.664954	0.721561	0.345066	0.374452	-0.481067	-0.481052	competition	NaN	0	0.3087
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000009	0.664954	1.346710	0.444181	0.899596	-0.332012	-0.332004	competition	0.9936	6	0.0650
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000010	0.664954	1.379506	0.462794	0.960119	-0.304020	-0.304012	competition	0.9826	4	0.1022
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000011	0.664954	1.953283	0.491747	1.444514	-0.260479	-0.260469	competition	0.4735	6	0.0500
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000012	0.664954	1.889620	0.487495	1.385349	-0.266873	-0.266864	competition	0.5192	5	0.0479
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000013	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000014	0.664954	2.122634	0.503399	1.606947	-0.242957	-0.242946	competition	0.6203	5	0.0505
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000015	0.664954	2.364437	0.514243	1.828567	-0.226649	-0.226638	competition	0.9750	6	0.0530
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000016	0.664954	0.718463	0.626032	0.676411	-0.058532	-0.058531	competition	0.9540	6	0.0421
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000017	0.664954	1.351286	0.481131	0.977740	-0.276445	-0.276437	competition	1.0000	4	0.0652
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000018	0.664954	0.666256	0.694777	0.696141	0.044851	0.044855	mutualism	0.7900	9	0.0333
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000019	0.664954	2.107911	0.498650	1.580749	-0.250098	-0.250087	competition	0.8031	5	0.0633
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000020	0.664954	0.785503	0.415133	0.490398	-0.375696	-0.375690	competition	0.7811	5	0.3927
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000021	0.664954	0.494109	0.474873	0.352862	-0.285856	-0.285862	competition	0.8078	5	0.6865
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000022	0.664954	1.099579	0.510866	0.844784	-0.231727	-0.231721	competition	0.4192	4	0.0304
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000023	0.664954	1.286973	0.436915	0.845629	-0.342939	-0.342932	competition	0.7706	4	0.0701
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000024	0.664954	2.297266	0.514011	1.775817	-0.226997	-0.226987	competition	0.9346	3	0.0463
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000025	0.664954	1.888778	0.493140	1.400765	-0.258385	-0.258375	competition	0.5355	6	0.0333
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000026	0.664954	1.111848	0.429748	0.718575	-0.353717	-0.353711	competition	0.9968	4	0.0774
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000027	0.664954	1.621140	0.496779	1.211150	-0.252911	-0.252903	competition	0.8035	7	0.0479
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000028	0.664954	1.408265	0.468426	0.992064	-0.295551	-0.295541	competition	0.8371	6	0.0340
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000029	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000030	0.664954	0.864462	0.533878	0.694063	-0.197119	-0.197116	competition	0.0053	4	0.0462
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000031	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000033	0.664954	0.604847	0.533059	0.484876	-0.198352	-0.198349	competition	0.1854	5	0.0669
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000034	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000035	0.664954	2.263814	0.546939	1.862061	-0.177478	-0.177467	competition	0.9461	5	0.0540
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000036	0.664954	0.282463	0.764109	0.324579	0.149116	0.149104	mutualism	0.0283	6	0.0130
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000037	0.664954	1.603820	0.506990	1.222838	-0.237555	-0.237547	competition	0.9401	3	0.0740
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000038	0.664954	1.664013	0.478571	1.197617	-0.280294	-0.280284	competition	0.4540	3	0.0394
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000039	0.664954	1.368580	0.475966	0.979624	-0.284212	-0.284204	competition	0.3744	6	0.0477
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000040	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000041	0.664954	1.377322	0.498248	1.032035	-0.250702	-0.250694	competition	0.4008	8	0.0365
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000042	0.664954	1.243398	0.546737	1.022353	-0.177782	-0.177775	competition	0.7870	4	0.0425
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000043	0.664954	1.394558	0.512122	1.074046	-0.229838	-0.229830	competition	0.6690	7	0.0090
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000044	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000045	0.664954	1.062738	0.438477	0.700788	-0.340590	-0.340583	competition	0.9968	4	0.0620
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000046	0.664954	1.447642	0.584719	1.272973	-0.120662	-0.120657	competition	0.9263	4	0.0612
