species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000001	0.664954	1.779271	0.551990	1.477025	-0.169881	-0.169870	competition	0.9206	3	0.0767
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000002	0.664954	0.951684	0.684892	0.980226	0.029984	0.029991	mutualism	0.5441	8	0.0233
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000003	0.664954	0.464512	0.653956	0.456835	-0.016538	-0.016528	competition	0.7983	5	0.0087
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000004	0.664954	1.476149	0.623933	1.385094	-0.061690	-0.061685	competition	0.9098	7	0.0390
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000006	0.664954	1.970187	0.492984	1.460681	-0.258619	-0.258608	competition	0.7652	5	0.0607
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000007	0.664954	0.533994	0.416835	0.334749	-0.373137	-0.373122	competition	0.9841	3	0.6675
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000008	0.664954	0.721561	0.345066	0.374453	-0.481068	-0.481051	competition	NaN	0	0.3087
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000009	0.664954	1.346710	0.444180	0.899597	-0.332013	-0.332004	competition	0.9936	6	0.0673
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000010	0.664954	1.379506	0.462794	0.960120	-0.304021	-0.304012	competition	0.9861	6	0.1017
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000011	0.664954	1.953283	0.491747	1.444515	-0.260480	-0.260468	competition	0.4710	5	0.0536
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000012	0.664954	1.889620	0.487495	1.385350	-0.266874	-0.266863	competition	0.5192	5	0.0479
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000013	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000014	0.664954	2.122634	0.503398	1.606948	-0.242958	-0.242946	competition	0.6203	5	0.0505
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000015	0.664954	2.364437	0.514242	1.828567	-0.226650	-0.226637	competition	0.9750	6	0.0530
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000016	0.664954	0.718463	0.626032	0.676412	-0.058533	-0.058530	competition	0.9540	6	0.0421
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000017	0.664954	1.351286	0.481132	0.977739	-0.276443	-0.276438	competition	1.0000	4	0.0652
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000018	0.664954	0.666256	0.694777	0.696142	0.044850	0.044856	mutualism	0.7900	9	0.0333
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000019	0.664954	2.107911	0.498649	1.580750	-0.250099	-0.250087	competition	0.8031	5	0.0633
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000020	0.664954	0.785503	0.415133	0.490398	-0.375697	-0.375689	competition	0.7811	5	0.3927
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000021	0.664954	0.494109	0.474873	0.352862	-0.285855	-0.285863	competition	0.8078	5	0.6865
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000022	0.664954	1.099579	0.510867	0.844783	-0.231725	-0.231722	competition	0.4192	4	0.0304
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000023	0.664954	1.286973	0.436914	0.845629	-0.342940	-0.342932	competition	0.8869	4	0.0665
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000024	0.664954	2.297266	0.514010	1.775818	-0.226998	-0.226986	competition	0.9346	4	0.0445
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000025	0.664954	1.888778	0.493142	1.400763	-0.258382	-0.258376	competition	0.5355	6	0.0333
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000026	0.664954	1.111848	0.429749	0.718574	-0.353715	-0.353712	competition	0.9968	4	0.0726
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000027	0.664954	1.621140	0.496779	1.211151	-0.252912	-0.252902	competition	0.8035	7	0.0479
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000028	0.664954	1.408265	0.468427	0.992063	-0.295549	-0.295542	competition	0.8371	6	0.0345
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000029	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000030	0.664954	0.864462	0.533878	0.694063	-0.197120	-0.197115	competition	0.0053	4	0.0462
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000031	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000033	0.664954	0.604847	0.533060	0.484876	-0.198351	-0.198350	competition	0.1854	5	0.0669
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000034	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000035	0.664954	2.263814	0.546941	1.862059	-0.177474	-0.177468	competition	0.9461	5	0.0493
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000036	0.664954	0.282463	0.764109	0.324579	0.149116	0.149103	mutualism	0.0283	6	0.0130
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000037	0.664954	1.603820	0.506992	1.222836	-0.237553	-0.237548	competition	0.9444	4	0.0824
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000038	0.664954	1.664013	0.478572	1.197615	-0.280292	-0.280285	competition	0.4540	3	0.0394
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000039	0.664954	1.368580	0.475965	0.979624	-0.284213	-0.284204	competition	0.3744	6	0.0477
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000040	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000041	0.664954	1.377322	0.498250	1.032034	-0.250700	-0.250695	competition	0.4008	7	0.0273
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000042	0.664954	1.243398	0.546736	1.022354	-0.177783	-0.177774	competition	0.7870	4	0.0425
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000043	0.664954	1.394558	0.512121	1.074047	-0.229839	-0.229829	competition	0.7495	6	0.0522
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000044	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000045	0.664954	1.062738	0.438478	0.700787	-0.340589	-0.340584	competition	0.9968	4	0.0620
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000046	0.664954	1.447642	0.584718	1.272974	-0.120663	-0.120657	competition	0.9099	4	0.0603
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000047	0.664954	2.057053	0.531186	1.643261	-0.201169	-0.201157	competition	0.0761	7	0.0310
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000048	0.664954	0.903493	0.532906	0.724082	-0.198581	-0.198576	competition	0.0554	6	0.0301
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000049	0.664954	2.208472	0.534798	1.776221	-0.195736	-0.195724	competition	0.9681	4	0.0545
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000050	0.664954	0.860482	0.717650	0.928679	0.079249	0.079254	mutualism	0.0656	8	0.0340
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000051	0.664954	-0.000000	0.664954	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000052	0.664954	1.683135	0.490995	1.242827	-0.261610	-0.261600	competition	0.7349	7	0.0449
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000053	0.664954	0.357430	0.579810	0.311660	-0.128045	-0.128054	competition	0.6511	6	0.0431
