species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000001	1.023845	2.543029	0.801105	1.989806	-0.217552	-0.217545	competition	0.9924	4	0.0666
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000002	1.023845	1.515032	0.933578	1.381460	-0.088165	-0.088164	competition	0.4804	6	0.0285
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000003	1.023845	0.767275	0.902665	0.676465	-0.118358	-0.118355	competition	0.6516	6	0.0030
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000004	1.023845	2.195674	0.874319	1.875014	-0.146044	-0.146042	competition	0.9344	6	0.0505
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000006	1.023845	2.570426	0.729042	1.830323	-0.287937	-0.287930	competition	0.8498	7	0.0640
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000007	1.023845	0.860330	0.602120	0.505965	-0.411903	-0.411894	competition	0.6673	6	0.3441
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000008	1.023845	1.077399	0.523498	0.550888	-0.488694	-0.488687	competition	NaN	0	0.7612
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000009	1.023845	1.848837	0.657390	1.187112	-0.357920	-0.357914	competition	0.9941	5	0.0692
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000010	1.023845	1.832462	0.674279	1.206824	-0.341425	-0.341419	competition	0.8532	8	0.1075
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000011	1.023845	2.555363	0.727440	1.815598	-0.289502	-0.289495	competition	0.7992	7	0.0524
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000012	1.023845	2.506176	0.719703	1.761712	-0.297059	-0.297052	competition	0.8302	5	0.0642
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000013	1.023845	-0.000000	1.023845	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000014	1.023845	2.720846	0.746041	1.982609	-0.271334	-0.271326	competition	0.9973	4	0.0603
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000015	1.023845	3.030909	0.762694	2.257842	-0.255069	-0.255061	competition	0.9939	4	0.0628
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000016	1.023845	1.161959	0.845120	0.959128	-0.174562	-0.174559	competition	0.9969	3	0.0658
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000017	1.023845	1.983565	0.717649	1.390354	-0.299065	-0.299063	competition	1.0000	4	0.0648
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000018	1.023845	1.182444	0.911641	1.052861	-0.109590	-0.109589	competition	0.9852	8	0.0367
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000019	1.023845	2.787748	0.746004	2.031258	-0.271370	-0.271362	competition	0.9907	5	0.0866
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000020	1.023845	1.120877	0.597580	0.654219	-0.416338	-0.416333	competition	0.7811	5	0.8709
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000021	1.023845	0.688151	0.701837	0.471717	-0.314509	-0.314515	competition	0.8244	6	0.6181
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000022	1.023845	1.606912	0.741654	1.164018	-0.275619	-0.275618	competition	0.4309	5	0.0325
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000023	1.023845	1.761103	0.655388	1.127335	-0.359876	-0.359870	competition	0.1471	4	0.0611
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000024	1.023845	3.023488	0.768345	2.269001	-0.249550	-0.249542	competition	0.9610	5	0.0429
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000025	1.023845	2.431285	0.727035	1.726467	-0.289897	-0.289895	competition	0.5899	8	0.0327
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000026	1.023845	1.570462	0.646762	0.992061	-0.368300	-0.368300	competition	0.9968	4	0.0649
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000027	1.023845	2.193643	0.747247	1.601032	-0.270156	-0.270150	competition	0.8610	6	0.0559
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000028	1.023845	1.940230	0.697637	1.322058	-0.318611	-0.318608	competition	0.8584	6	0.0379
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000029	1.023845	-0.000000	1.023845	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000030	1.023845	1.372079	0.741149	0.993238	-0.276112	-0.276107	competition	0.0042	5	0.0486
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000031	1.023845	-0.000000	1.023845	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000033	1.023845	1.100954	0.727840	0.782657	-0.289111	-0.289110	competition	0.1502	5	0.0904
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000034	1.023845	-0.000000	1.023845	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000035	1.023845	2.992963	0.801486	2.342957	-0.217181	-0.217178	competition	0.9967	5	0.0533
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000036	1.023845	0.709562	0.930542	0.644897	-0.091130	-0.091133	competition	0.0212	5	0.0164
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000037	1.023845	2.210181	0.747177	1.612941	-0.270224	-0.270222	competition	0.9604	4	0.0731
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000038	1.023845	2.212187	0.705590	1.524551	-0.310843	-0.310840	competition	0.4310	3	0.0406
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000039	1.023845	1.887466	0.705737	1.301043	-0.310699	-0.310693	competition	0.4295	6	0.0422
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000040	1.023845	-0.000000	1.023845	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000041	1.023845	1.920591	0.728819	1.367167	-0.288155	-0.288153	competition	0.4359	7	0.0297
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000042	1.023845	1.718540	0.783493	1.315115	-0.234754	-0.234749	competition	0.5468	5	0.0375
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000043	1.023845	1.869656	0.748646	1.367122	-0.268790	-0.268784	competition	0.4810	8	0.0478
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000044	1.023845	-0.000000	1.023845	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
L_gasseri_ATCC33323_GCF_000014425.1	MGYG000000045	1.023845	1.524313	0.655153	0.975404	-0.360105	-0.360103	competition	0.9968	4	0.0577
