species_a	species_b	growth_a_alone	growth_b_alone	growth_a_co	growth_b_co	benefit_a	benefit_b	interaction_type	gene_supported_fraction	n_exchanged_metabolites	competition_intensity
akk_GCF_000020225.1	MGYG000000001	1.002424	2.543029	0.797400	2.022927	-0.204528	-0.204520	competition	0.3194	4	0.0646
akk_GCF_000020225.1	MGYG000000002	1.002424	1.515032	0.827984	1.251398	-0.174018	-0.174012	competition	0.9168	7	0.0658
akk_GCF_000020225.1	MGYG000000003	1.002424	0.767275	0.824720	0.631257	-0.177274	-0.177275	competition	0.3524	6	0.0437
akk_GCF_000020225.1	MGYG000000004	1.002424	2.195674	0.860810	1.885504	-0.141271	-0.141264	competition	0.9663	4	0.0161
akk_GCF_000020225.1	MGYG000000006	1.002424	2.570426	0.723158	1.854349	-0.278590	-0.278583	competition	0.3796	6	0.0889
akk_GCF_000020225.1	MGYG000000007	1.002424	0.860330	1.065233	0.914233	0.062657	0.062654	mutualism	0.0006	5	0.0227
akk_GCF_000020225.1	MGYG000000008	1.002424	1.077399	0.933700	1.003534	-0.068557	-0.068559	competition	-0.0000	4	0.0176
akk_GCF_000020225.1	MGYG000000009	1.002424	1.848837	0.733137	1.352186	-0.268635	-0.268629	competition	0.6199	4	0.1612
akk_GCF_000020225.1	MGYG000000010	1.002424	1.832462	0.758872	1.387253	-0.242963	-0.242957	competition	0.2899	6	0.0306
akk_GCF_000020225.1	MGYG000000011	1.002424	2.555363	0.726184	1.851195	-0.275572	-0.275565	competition	0.8994	7	0.0685
akk_GCF_000020225.1	MGYG000000012	1.002424	2.506176	0.772355	1.930998	-0.229512	-0.229504	competition	0.8682	5	0.0799
akk_GCF_000020225.1	MGYG000000013	1.002424	-0.000000	1.002424	0.000000	0.000000	0.000000	neutral	NaN	0	0.0000
akk_GCF_000020225.1	MGYG000000014	1.002424	2.720846	0.729061	1.978888	-0.272702	-0.272694	competition	0.5645	5	0.0626
akk_GCF_000020225.1	MGYG000000015	1.002424	3.030909	0.777128	2.349732	-0.224751	-0.224743	competition	0.9998	6	0.0505
akk_GCF_000020225.1	MGYG000000016	1.002424	1.161959	0.809978	0.938890	-0.191980	-0.191977	competition	-0.0000	1	0.2495
akk_GCF_000020225.1	MGYG000000017	1.002424	1.983565	0.801732	1.586455	-0.200207	-0.200200	competition	0.7931	2	0.0356
akk_GCF_000020225.1	MGYG000000018	1.002424	1.182444	0.930071	1.097102	-0.072178	-0.072174	competition	0.2649	5	0.1693
akk_GCF_000020225.1	MGYG000000019	1.002424	2.787748	0.827388	2.300995	-0.174612	-0.174604	competition	0.9606	6	0.0519
