strain	reactions	metabolites	genes	transporters	exchanges	pathways	noGPR_reactions
L_acidophilus_NCFM_GCF_000011985.1	1409	1214	358	223	157	655	284
L_casei_ATCC393_GCF_000829055.1	1782	1481	435	261	163	756	311
L_crispatus_M247_GCF_026740115.1	1377	1192	339	235	158	658	292
L_crispatus_ST1_GCF_000091765.1	1400	1212	333	223	151	682	278
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	1379	1272	292	222	148	693	293
L_gasseri_ATCC33323_GCF_000014425.1	1352	1174	308	216	152	638	266
L_paracasei_ATCC334_GCF_000014525.1	1792	1477	464	273	167	747	295
L_plantarum_WCFS1_GCF_000203855.3	1930	1609	598	288	181	825	310
L_reuteri_DSM20016_GCF_000016825.1	1633	1402	381	252	162	742	290
L_rhamnosus_GG_GCF_000026505.1	1829	1525	476	267	165	760	303
