strain	mean_mut	ci_lo	ci_hi
L_acidophilus_NCFM_GCF_000011985.1	27.503	25.961	29.028
L_casei_ATCC393_GCF_000829055.1	7.606	6.742	8.446
L_crispatus_M247_GCF_026740115.1	27.095	25.665	28.696
L_crispatus_ST1_GCF_000091765.1	27.221	25.707	28.840
L_delbrueckii_ATCC_BAA365_GCF_000014405.1	15.122	13.968	16.291
L_gasseri_ATCC33323_GCF_000014425.1	28.416	26.999	29.955
L_paracasei_ATCC334_GCF_000014525.1	7.936	7.095	8.838
L_plantarum_WCFS1_GCF_000203855.3	21.127	19.758	22.442
L_reuteri_DSM20016_GCF_000016825.1	21.073	19.715	22.418
L_rhamnosus_GG_GCF_000026505.1	8.480	7.604	9.459
